target_count,seed_index,result_index,trial_count,L_BBHT
1,0,507,25,308
1,1,507,15,23
1,2,507,22,181
1,3,507,25,239
1,4,507,24,240
1,5,507,23,155
1,6,507,9,14
1,7,507,23,180
1,8,507,26,261
1,9,507,24,148
1,10,507,20,93
1,11,507,23,175
1,12,507,18,42
1,13,507,24,218
1,14,507,21,133
1,15,507,27,333
1,16,507,25,225
1,17,507,25,152
1,18,507,24,216
1,19,507,22,122
1,20,507,27,311
1,21,507,26,200
1,22,507,15,37
1,23,507,23,141
1,24,507,21,159
1,25,507,25,210
1,26,507,27,215
1,27,507,24,174
1,28,507,25,256
1,29,507,21,133
1,30,507,19,63
1,31,507,27,273
1,32,507,22,93
1,33,507,19,93
1,34,507,27,290
1,35,507,16,40
1,36,507,24,229
1,37,507,23,169
1,38,507,21,123
1,39,507,21,105
1,40,507,18,48
1,41,507,24,196
1,42,507,21,126
1,43,507,28,252
1,44,507,28,368
1,45,507,21,131
1,46,507,20,96
1,47,507,21,120
1,48,507,25,157
1,49,507,23,148
1,50,507,26,275
1,51,507,22,122
1,52,507,26,256
1,53,507,24,167
1,54,507,25,283
1,55,507,26,269
1,56,507,23,142
1,57,507,24,241
1,58,507,28,369
1,59,507,24,141
1,60,507,21,135
1,61,507,27,306
1,62,507,24,196
1,63,507,19,67
1,64,507,23,129
1,65,507,26,277
1,66,507,15,45
1,67,507,22,105
1,68,507,26,239
1,69,507,23,160
1,70,507,26,243
1,71,507,25,235
1,72,507,12,15
1,73,507,19,49
1,74,507,23,212
1,75,507,15,42
1,76,507,17,64
1,77,507,22,113
1,78,507,31,430
1,79,507,24,138
1,80,507,27,381
1,81,507,28,300
1,82,507,27,336
1,83,507,20,110
1,84,507,26,277
1,85,507,22,145
1,86,507,24,200
1,87,507,23,191
1,88,507,24,199
1,89,507,16,41
1,90,507,24,174
1,91,507,17,53
1,92,507,20,86
1,93,507,23,192
1,94,507,18,62
1,95,507,20,75
1,96,507,24,183
1,97,507,21,102
1,98,507,20,102
1,99,507,27,263
4,0,8685,21,119
4,1,8685,23,132
4,2,2852,19,89
4,3,2852,20,101
4,4,4724,16,47
4,5,2852,20,72
4,6,507,9,14
4,7,507,21,112
4,8,2852,15,40
4,9,2852,23,94
4,10,2852,19,65
4,11,4724,15,41
4,12,507,18,42
4,13,2852,22,128
4,14,4724,17,59
4,15,8685,21,85
4,16,2852,21,116
4,17,507,24,121
4,18,8685,22,116
4,19,507,21,82
4,20,507,22,112
4,21,2852,9,4
4,22,507,15,37
4,23,8685,12,21
4,24,8685,9,14
4,25,4724,19,77
4,26,2852,21,83
4,27,507,19,77
4,28,2852,23,142
4,29,2852,18,62
4,30,2852,20,80
4,31,4724,10,14
4,32,4724,21,70
4,33,8685,20,98
4,34,8685,11,17
4,35,8685,18,73
4,36,4724,17,47
4,37,507,20,85
4,38,8685,16,54
4,39,4724,18,71
4,40,507,18,48
4,41,2852,12,14
4,42,2852,15,34
4,43,4724,19,98
4,44,2852,21,123
4,45,2852,20,102
4,46,507,18,68
4,47,8685,19,76
4,48,2852,22,95
4,49,507,16,44
4,50,8685,12,9
4,51,4724,21,111
4,52,2852,18,73
4,53,4724,20,77
4,54,2852,24,217
4,55,507,23,124
4,56,8685,19,59
4,57,4724,22,166
4,58,507,21,97
4,59,2852,20,86
4,60,507,18,84
4,61,507,22,123
4,62,2852,23,153
4,63,2852,18,54
4,64,507,19,64
4,65,8685,23,131
4,66,4724,25,172
4,67,8685,16,30
4,68,2852,21,81
4,69,8685,22,106
4,70,2852,23,119
4,71,2852,22,124
4,72,507,12,15
4,73,2852,20,66
4,74,507,21,145
4,75,2852,9,9
4,76,2852,16,47
4,77,507,18,67
4,78,4724,25,177
4,79,2852,22,90
4,80,8685,24,175
4,81,8685,9,12
4,82,8685,12,18
4,83,8685,14,23
4,84,4724,21,132
4,85,4724,20,91
4,86,8685,21,91
4,87,4724,19,89
4,88,8685,16,48
4,89,507,16,41
4,90,8685,18,54
4,91,507,17,53
4,92,2852,11,13
4,93,8685,20,96
4,94,4724,19,71
4,95,8685,17,47
4,96,8685,19,74
4,97,2852,22,124
4,98,8685,20,102
4,99,8685,16,42
16,0,4512,11,15
16,1,507,15,23
16,2,10593,17,56
16,3,5281,18,56
16,4,4512,14,27
16,5,10839,15,18
16,6,3947,17,68
16,7,5281,12,25
16,8,2852,14,32
16,9,3947,12,20
16,10,14405,15,35
16,11,1721,17,57
16,12,5281,16,28
16,13,10593,16,43
16,14,4724,19,71
16,15,14405,21,85
16,16,10931,13,30
16,17,5281,11,13
16,18,5281,14,27
16,19,10931,21,82
16,20,10931,17,58
16,21,7786,19,67
16,22,491,15,37
16,23,8685,12,21
16,24,7786,16,47
16,25,491,9,6
16,26,4512,15,29
16,27,3947,14,32
16,28,5281,11,17
16,29,7786,14,30
16,30,3947,15,26
16,31,2852,14,35
16,32,5281,21,70
16,33,491,13,23
16,34,8685,11,17
16,35,10593,15,30
16,36,10931,7,5
16,37,491,2,1
16,38,15288,15,40
16,39,15288,18,71
16,40,507,18,48
16,41,491,14,29
16,42,4512,17,57
16,43,10839,8,6
16,44,2852,20,93
16,45,7786,12,21
16,46,5281,18,68
16,47,1801,15,30
16,48,15288,13,13
16,49,15288,16,44
16,50,8685,18,48
16,51,10931,16,43
16,52,10931,16,43
