target_count,stage,n,total_cycles,mean_cycles,median_cycles,pstdev_cycles,p95_cycles,aggregate_speedup_vs_Normal,mean_workload_speedup_vs_Normal,stage_reduction_pct
1,Normal-E1,100,20927701,209277.01,200532.5,99008.74796668171,380484,1.0,1.0,0.0
1,K4/H4-E1,100,7620232,76202.32,70430.5,33918.40822175475,140214,2.746333838654781,2.7003698683962245,63.58782075489324
1,K4/H4-E4,100,3854000,38540,37641.5,11488.232814493273,58848,5.43012480539699,5.1401761702732545,49.424112021786215
1,K3/H3-E4,100,3585448,35854.48,34837.0,11167.049805100718,56382,5.836844098701194,5.529607911641152,6.968137000518941
1,K3/H3-E4-M1,100,3009535,30095.35,28751.0,10301.945112817288,49470,6.953798842678354,6.623635507986363,16.06251157456474
1,K3/H3-E4-M2,100,2534469,25344.69,23552.0,9542.260916255644,43936,8.25723297463887,7.929852811141926,15.785362190504513
4,Normal-E1,100,10612791,106127.91,105009.0,49637.34250543536,188962,1.0,1.0,0.0
4,K4/H4-E1,100,4460551,44605.51,43828.5,17174.46681763076,75804,2.379255612142984,2.289594502270387,57.970047652874726
4,K4/H4-E4,100,2711064,27110.64,27618.0,7198.01833773713,37973,3.9146220819574897,3.691668159121673,39.22132041534779
4,K3/H3-E4,100,2511147,25111.47,25008.5,6884.077083320611,36015,4.226272297081771,3.990625665641349,7.374115845291738
4,K3/H3-E4-M1,100,2040473,20404.73,20268.0,5952.3901028998425,30183,5.201142578215933,4.922177394505824,18.743386986106348
4,K3/H3-E4-M2,100,1636791,16367.91,16156.5,5161.307156321933,24712,6.483901121157191,6.153824842376508,19.78374621962653
16,Normal-E1,100,6145825,61458.25,57051.0,28855.902501351437,115197,1.0,1.0,0.0
16,K4/H4-E1,100,2989917,29899.17,29026.0,10464.22125249175,51560,2.0555169257206805,1.965408521535135,51.35043708533842
16,K4/H4-E4,100,2071262,20712.62,20981.5,5262.707205953985,31223,2.9671886028904115,2.805151699204717,30.725100395763494
16,K3/H3-E4,100,1917294,19172.94,19194.5,4948.4558961760995,28718,3.2054682276166306,3.030981696752547,7.433535689835472
16,K3/H3-E4-M1,100,1532154,15321.54,15131.5,4070.3205092965345,23409,4.011231899665439,3.797444460599476,20.087686082572628
16,K3/H3-E4-M2,100,1199262,11992.62,11894.0,3227.788632423133,18350,5.1246725069250925,4.854951848493639,21.727058768243925
64,Normal-E1,100,3049765,30497.65,28476.5,17200.586759977115,60813,1.0,1.0,0.0
64,K4/H4-E1,100,1934108,19341.08,19096.0,6931.7388564197945,31788,1.5768328345676663,1.4556721615736787,36.58173662560886
64,K4/H4-E4,100,1492577,14925.77,15147.5,4339.859419048041,22246,2.0432882189662576,1.8783484715731453,22.828663135667707
64,K3/H3-E4,100,1365975,13659.75,14010.5,4117.645753036558,20359,2.2326653123227,2.051686003042963,8.482108460736029
64,K3/H3-E4-M1,100,1096657,10966.57,11222.5,3162.666559266089,16191,2.7809652425507703,2.559602359620437,19.71617342923553
64,K3/H3-E4-M2,100,858971,8589.71,8366.5,2350.6384762230027,12391,3.5504865705594253,3.2735071080464198,21.673686485382394
256,Normal-E1,100,1572253,15722.53,14552.0,7451.185429789008,30032,1.0,1.0,0.0
256,K4/H4-E1,100,1344512,13445.12,12966.0,3555.3928201536323,19570,1.1693856209539224,1.105496084525726,14.485009728078115
256,K4/H4-E4,100,1117852,11178.52,11045.0,2516.4434445462907,15451,1.4064947774839602,1.3292030529277106,16.858161176694594
256,K3/H3-E4,100,1005931,10059.31,9936.0,2500.4366726434005,14340,1.5629829481346136,1.476200638208194,10.012148298701439
256,K3/H3-E4-M1,100,821801,8218.01,8144.0,1840.9052311023509,11285,1.9131797113899838,1.8099632182799361,18.30443638778405
256,K3/H3-E4-M2,100,660977,6609.77,6388.5,1261.4838631944524,8924,2.3786803474250995,2.254225394500585,19.569701180699465
