target_count,seed_index,stage,cycles,actual_iter,result_index,trial_count,L_BBHT,semantic_equal
1,0,Normal-E1,351419,308,507,25,308,1
1,0,K4/H4-E1,100198,70,507,25,308,1
1,0,K4/H4-E4,46053,70,507,25,308,1
1,0,K3/H3-E4,42604,70,507,25,308,1
1,0,K3/H3-E4-M1,36204,70,507,25,308,1
1,0,K3/H3-E4-M2,30913,70,507,25,308,1
1,1,Normal-E1,43034,23,507,15,23,1
1,1,K4/H4-E1,26532,9,507,15,23,1
1,1,K4/H4-E4,19235,9,507,15,23,1
1,1,K3/H3-E4,17529,9,507,15,23,1
1,1,K3/H3-E4-M1,13689,9,507,15,23,1
1,1,K3/H3-E4-M2,11136,9,507,15,23,1
1,2,Normal-E1,216242,181,507,22,181,1
1,2,K4/H4-E1,66949,40,507,22,181,1
1,2,K4/H4-E4,35844,40,507,22,181,1
1,2,K3/H3-E4,32193,40,507,22,181,1
1,2,K3/H3-E4-M1,26561,40,507,22,181,1
1,2,K3/H3-E4-M2,21870,40,507,22,181,1
1,3,Normal-E1,280705,239,507,25,239,1
1,3,K4/H4-E1,81920,51,507,25,239,1
1,3,K4/H4-E4,42495,51,507,25,239,1
1,3,K3/H3-E4,38665,53,507,25,239,1
1,3,K3/H3-E4-M1,32265,53,507,25,239,1
1,3,K3/H3-E4-M2,26538,53,507,25,239,1
1,4,Normal-E1,279130,240,507,24,240,1
1,4,K4/H4-E1,88274,58,507,24,240,1
1,4,K4/H4-E4,43345,58,507,24,240,1
1,4,K3/H3-E4,37897,58,507,24,240,1
1,4,K3/H3-E4-M1,31999,58,507,24,240,1
1,4,K3/H3-E4-M2,27653,58,507,24,240,1
1,5,Normal-E1,190119,155,507,23,155,1
1,5,K4/H4-E1,67021,41,507,23,155,1
1,5,K4/H4-E4,36714,41,507,23,155,1
1,5,K3/H3-E4,32688,41,507,23,155,1
1,5,K3/H3-E4-M1,26800,41,507,23,155,1
1,5,K3/H3-E4-M2,22566,41,507,23,155,1
1,6,Normal-E1,26191,14,507,9,14,1
1,6,K4/H4-E1,16278,4,507,9,14,1
1,6,K4/H4-E4,12821,4,507,9,14,1
1,6,K3/H3-E4,11712,4,507,9,14,1
1,6,K3/H3-E4-M1,9408,4,507,9,14,1
1,6,K3/H3-E4-M2,7619,4,507,9,14,1
1,7,Normal-E1,215454,180,507,23,180,1
1,7,K4/H4-E1,78065,52,507,23,180,1
1,7,K4/H4-E4,37744,52,507,23,180,1
1,7,K3/H3-E4,35245,52,507,23,180,1
1,7,K3/H3-E4-M1,29357,52,507,23,180,1
1,7,K3/H3-E4-M2,25496,52,507,23,180,1
1,8,Normal-E1,304469,261,507,26,261,1
1,8,K4/H4-E1,113884,83,507,26,261,1
1,8,K4/H4-E4,50052,83,507,26,261,1
1,8,K3/H3-E4,47682,85,507,26,261,1
1,8,K3/H3-E4-M1,41035,85,507,26,261,1
1,8,K3/H3-E4-M2,35380,85,507,26,261,1
1,9,Normal-E1,185357,148,507,24,148,1
1,9,K4/H4-E1,85580,57,507,24,148,1
1,9,K4/H4-E4,41034,57,507,24,148,1
1,9,K3/H3-E4,41929,68,507,24,148,1
1,9,K3/H3-E4-M1,35828,68,507,24,148,1
1,9,K3/H3-E4-M2,30057,68,507,24,148,1
1,10,Normal-E1,122259,93,507,20,93,1
1,10,K4/H4-E1,53016,30,507,20,93,1
1,10,K4/H4-E4,29591,30,507,20,93,1
1,10,K3/H3-E4,27875,31,507,20,93,1
1,10,K3/H3-E4-M1,22802,31,507,20,93,1
1,10,K3/H3-E4-M2,18832,31,507,20,93,1
1,11,Normal-E1,209862,175,507,23,175,1
1,11,K4/H4-E1,70385,44,507,23,175,1
1,11,K4/H4-E4,37198,44,507,23,175,1
1,11,K3/H3-E4,32955,45,507,23,175,1
1,11,K3/H3-E4-M1,27067,45,507,23,175,1
1,11,K3/H3-E4-M2,23640,45,507,23,175,1
1,12,Normal-E1,66710,42,507,18,42,1
1,12,K4/H4-E1,30347,10,507,18,42,1
1,12,K4/H4-E4,22394,10,507,18,42,1
1,12,K3/H3-E4,20853,12,507,18,42,1
1,12,K3/H3-E4-M1,16444,12,507,18,42,1
1,12,K3/H3-E4-M2,13051,12,507,18,42,1
1,13,Normal-E1,259187,218,507,24,218,1
1,13,K4/H4-E1,82239,52,507,24,218,1
1,13,K4/H4-E4,41918,52,507,24,218,1
1,13,K3/H3-E4,40007,55,507,24,218,1
1,13,K3/H3-E4-M1,33863,55,507,24,218,1
1,13,K3/H3-E4-M2,26622,55,507,24,218,1
1,14,Normal-E1,166475,133,507,21,133,1
1,14,K4/H4-E1,63724,36,507,21,133,1
1,14,K4/H4-E4,35691,36,507,21,133,1
1,14,K3/H3-E4,31717,37,507,21,133,1
1,14,K3/H3-E4-M1,26513,37,507,21,133,1
1,14,K3/H3-E4-M2,20783,37,507,21,133,1
1,15,Normal-E1,380484,333,507,27,333,1
1,15,K4/H4-E1,135967,101,507,27,333,1
1,15,K4/H4-E4,58052,101,507,27,333,1
1,15,K3/H3-E4,57020,115,507,27,333,1
1,15,K3/H3-E4-M1,50171,115,507,27,333,1
1,15,K3/H3-E4-M2,44152,115,507,27,333,1
1,16,Normal-E1,265798,225,507,25,225,1
1,16,K4/H4-E1,73861,45,507,25,225,1
1,16,K4/H4-E4,40492,45,507,25,225,1
1,16,K3/H3-E4,36102,45,507,25,225,1
1,16,K3/H3-E4-M1,29708,45,507,25,225,1
1,16,K3/H3-E4-M2,24131,45,507,25,225,1
1,17,Normal-E1,190801,152,507,25,152,1
1,17,K4/H4-E1,65779,35,507,25,152,1
1,17,K4/H4-E4,38811,35,507,25,152,1
1,17,K3/H3-E4,36648,45,507,25,152,1
1,17,K3/H3-E4-M1,30310,45,507,25,152,1
1,17,K3/H3-E4-M2,24641,45,507,25,152,1
1,18,Normal-E1,255347,216,507,24,216,1
1,18,K4/H4-E1,99644,70,507,24,216,1
1,18,K4/H4-E4,45621,70,507,24,216,1
1,18,K3/H3-E4,42877,73,507,24,216,1
1,18,K3/H3-E4-M1,36782,73,507,24,216,1
1,18,K3/H3-E4-M2,31470,73,507,24,216,1
1,19,Normal-E1,155710,122,507,22,122,1
1,19,K4/H4-E1,70077,42,507,22,122,1
1,19,K4/H4-E4,37539,42,507,22,122,1
1,19,K3/H3-E4,34466,47,507,22,122,1
1,19,K3/H3-E4-M1,28834,47,507,22,122,1
1,19,K3/H3-E4-M2,23524,47,507,22,122,1
1,20,Normal-E1,358969,311,507,27,311,1
1,20,K4/H4-E1,133667,100,507,27,311,1
1,20,K4/H4-E4,57707,100,507,27,311,1
1,20,K3/H3-E4,56382,109,507,27,311,1
1,20,K3/H3-E4-M1,49470,109,507,27,311,1
1,20,K3/H3-E4-M2,41887,109,507,27,311,1
1,21,Normal-E1,240521,200,507,26,200,1
1,21,K4/H4-E1,94869,62,507,26,200,1
1,21,K4/H4-E4,46868,62,507,26,200,1
1,21,K3/H3-E4,42496,68,507,26,200,1
1,21,K3/H3-E4-M1,35919,68,507,26,200,1
1,21,K3/H3-E4-M2,31104,68,507,26,200,1
1,22,Normal-E1,57548,37,507,15,37,1
1,22,K4/H4-E1,26150,9,507,15,37,1
1,22,K4/H4-E4,18853,9,507,15,37,1
1,22,K3/H3-E4,17587,9,507,15,37,1
1,22,K3/H3-E4-M1,13747,9,507,15,37,1
1,22,K3/H3-E4-M2,11042,9,507,15,37,1
1,23,Normal-E1,177206,141,507,23,141,1
1,23,K4/H4-E1,60930,31,507,23,141,1
1,23,K4/H4-E4,38441,31,507,23,141,1
1,23,K3/H3-E4,32648,35,507,23,141,1
1,23,K3/H3-E4-M1,26760,35,507,23,141,1
1,23,K3/H3-E4-M2,21101,35,507,23,141,1
1,24,Normal-E1,192118,159,507,21,159,1
1,24,K4/H4-E1,61958,37,507,21,159,1
1,24,K4/H4-E4,33157,37,507,21,159,1
1,24,K3/H3-E4,31310,40,507,21,159,1
1,24,K3/H3-E4-M1,25934,40,507,21,159,1
1,24,K3/H3-E4-M2,21443,40,507,21,159,1
1,25,Normal-E1,250309,210,507,25,210,1
1,25,K4/H4-E1,111852,79,507,25,210,1
1,25,K4/H4-E4,50795,79,507,25,210,1
1,25,K3/H3-E4,45118,79,507,25,210,1
1,25,K3/H3-E4-M1,39022,79,507,25,210,1
1,25,K3/H3-E4-M2,33429,79,507,25,210,1
1,26,Normal-E1,257005,215,507,27,215,1
1,26,K4/H4-E1,91735,61,507,27,215,1
1,26,K4/H4-E4,45696,61,507,27,215,1
1,26,K3/H3-E4,42184,66,507,27,215,1
1,26,K3/H3-E4-M1,35272,66,507,27,215,1
