seed_index,seed_j,seed_meas
0,7B1DCDAF,24370DF2
1,3A85A4DC,A3B9AA35
2,6162A8B2,871C276F
3,C3ADC34E,F5B8F22B
4,2BB073FF,3F8396E3
5,DA585AB3,A7197AD7
6,0ED109C0,5701CE52
7,102ECF73,53C7612B
8,CF29B6A1,35231A84
9,C49CBB42,D0A3BBB8
10,4CC51D23,EE0E3AB4
11,F9E8AA7A,3208C31A
12,DDA8B051,C8105C9D
13,ABFB11BF,F5DEC75E
14,20639811,6B6A7C47
15,AC72ACD2,CA84BC6C
16,49A2DA79,E1376725
17,63A4E9D7,6166DBA4
18,8983F102,43FB6183
19,B671AA78,C97AD8A2
20,DAEB566A,989E5B3D
21,F6181C00,A345AC4B
22,4E18D852,A08980DF
23,A035CEBA,611DE4C4
24,C2416EE4,7323F479
25,FBDAFBDD,A0C0CF2F
26,A43FBF47,8DE97B10
27,6811F7C1,CB07044A
28,610DDE2C,8CF5DEB9
29,82241B87,BBE27F39
30,48647490,EA9551EB
31,63DF3B7F,A8B057E1
32,433125BB,3221FEF0
33,7943BE40,6641EE79
34,26C93252,675D2908
35,DBE3ED49,A7CFEA56
36,C2EC9BB4,BFC0AE9E
37,E7EC8559,307064AC
38,CCB88B54,2CF00158
39,B512E6A4,2B9E708C
40,7E2C3D82,A69FB195
41,58B3E5AD,23A21253
42,9A07C40B,3EA78D8C
43,F1F9A54B,7B00DB61
44,FBA6212D,B8B8356A
45,1CA60615,D753B84A
46,A085C93E,19B8504D
47,18190603,AD0438B2
48,C1143C78,BBDAB3CD
49,332063FC,222BA57C
50,D6F4066B,AB9EB714
51,64B9628C,9CD8B518
52,894E6771,8A255C2E
53,E3E668E8,FF1F20C3
54,36980406,FBDBFA61
55,114D2B4A,A617AD4E
56,3B8907E1,0C6CBD10
57,2CD09C1D,964FB1A7
58,6D7A8604,BD6F99C6
59,1FADAF42,60010AA3
60,92FE7CFD,B54E2773
61,1AECB060,9C545EBA
62,91778CC3,BD1D1BC0
63,E6B7E7EB,D542988E
64,6770144C,D2D3C6E7
65,C600A248,0A1E0844
66,1EA4F830,2EF0F28E
67,639604F3,7FE04F83
68,6E084A84,B643B17E
69,3D7FC476,467D7A44
70,EDCA3875,EFADE11E
71,B883121D,095C678C
72,ACE22797,BC422A9A
73,EFD3172D,8C2C3233
74,E6AACDB5,7F1C158A
75,6566C598,CA804B00
76,4E646D9D,CBAE5AC0
77,05D81D6F,260C4013
78,2018F6A3,5728C7F4
79,718EBF0C,4D7D460C
80,042A8F17,2093B3F4
81,FC1C775D,35BD20F1
82,16B93B63,7D609BA5
83,8CE1028E,B152E7EF
84,87BAD980,7DBEFA97
85,D63D86F3,F5399CCA
86,EEABA102,01560FC0
87,C1FEE4BB,C7E12D58
88,0707C9DA,F644A3F9
89,DE0D9C30,58A2EE8F
90,7CD0EFC7,9F385CFB
91,E4CB50A6,94D13729
92,A0882219,18F75D24
93,C435E6F2,F75A52BC
94,011B63F0,0AA34346
95,1B456E77,EE460F94
96,10088608,EF418331
97,6FCFC352,F8FA9F4C
98,FB6077AF,713595A9
99,C6EBB72E,08FDF109
