target_count,seed_index,semantic_equal,result_index,trial_count,L_BBHT,Normal-E1,K4/H4-E1,K4/H4-E4,K3/H3-E4,K3/H3-E4-M1,K3/H3-E4-M2
1,0,1,507,25,308,351419,100198,46053,42604,36204,30913
1,1,1,507,15,23,43034,26532,19235,17529,13689,11136
1,2,1,507,22,181,216242,66949,35844,32193,26561,21870
1,3,1,507,25,239,280705,81920,42495,38665,32265,26538
1,4,1,507,24,240,279130,88274,43345,37897,31999,27653
1,5,1,507,23,155,190119,67021,36714,32688,26800,22566
1,6,1,507,9,14,26191,16278,12821,11712,9408,7619
1,7,1,507,23,180,215454,78065,37744,35245,29357,25496
1,8,1,507,26,261,304469,113884,50052,47682,41035,35380
1,9,1,507,24,148,185357,85580,41034,41929,35828,30057
1,10,1,507,20,93,122259,53016,29591,27875,22802,18832
1,11,1,507,23,175,209862,70385,37198,32955,27067,23640
1,12,1,507,18,42,66710,30347,22394,20853,16444,13051
1,13,1,507,24,218,259187,82239,41918,40007,33863,26622
1,14,1,507,21,133,166475,63724,35691,31717,26513,20783
1,15,1,507,27,333,380484,135967,58052,57020,50171,44152
1,16,1,507,25,225,265798,73861,40492,36102,29708,24131
1,17,1,507,25,152,190801,65779,38811,36648,30310,24641
1,18,1,507,24,216,255347,99644,45621,42877,36782,31470
1,19,1,507,22,122,155710,70077,37539,34466,28834,23524
1,20,1,507,27,311,358969,133667,57707,56382,49470,41887
1,21,1,507,26,200,240521,94869,46868,42496,35919,31104
1,22,1,507,15,37,57548,26150,18853,17587,13747,11042
1,23,1,507,23,141,177206,60930,38441,32648,26760,21101
1,24,1,507,21,159,192118,61958,33157,31310,25934,21443
1,25,1,507,25,210,250309,111852,50795,45118,39022,33429
1,26,1,507,27,215,257005,91735,45696,42184,35272,30251
1,27,1,507,24,174,211538,68148,37043,33965,27836,22928
1,28,1,507,25,256,297648,91804,43035,41362,34962,29464
1,29,1,507,21,133,164607,61406,32605,30387,25011,21168
1,30,1,507,19,63,89265,48688,29103,24922,20229,17273
1,31,1,507,27,273,317006,105741,49032,45987,39082,34179
1,32,1,507,22,93,124901,48571,28986,28043,22411,17938
1,33,1,507,19,93,120185,49571,29850,25117,20288,17126
1,34,1,507,27,290,335327,140214,58421,53907,47146,41598
1,35,1,507,16,40,62933,31820,22219,20156,16060,12381
1,36,1,507,24,229,268771,78356,38803,38096,31952,26485
1,37,1,507,23,169,205137,70476,37473,34165,28277,23484
1,38,1,507,21,123,155370,50592,30239,28961,23585,18692
1,39,1,507,21,105,136890,55102,33120,29207,23831,19123
1,40,1,507,18,48,73287,34366,23997,21497,16889,13331
1,41,1,507,24,196,232959,101211,47096,42607,36657,33140
1,42,1,507,21,126,158055,60253,32988,30003,24627,20248
1,43,1,507,28,252,297738,89778,45617,41942,34774,28787
1,44,1,507,28,368,416592,147697,58992,57127,49959,44636
1,45,1,507,21,131,162227,56393,30664,28474,23116,19540
1,46,1,507,20,96,126699,43867,28122,26433,21313,15970
1,47,1,507,21,120,151531,50206,30063,27292,21916,17815
1,48,1,507,25,157,196374,68678,41437,34931,28668,22515
