target_count,seed_index,seed_j,seed_meas
1,0,7B1DCDAF,24370DF2
1,1,3A85A4DC,A3B9AA35
1,2,6162A8B2,871C276F
1,3,C3ADC34E,F5B8F22B
1,4,2BB073FF,3F8396E3
1,5,DA585AB3,A7197AD7
1,6,0ED109C0,5701CE52
1,7,102ECF73,53C7612B
1,8,CF29B6A1,35231A84
1,9,C49CBB42,D0A3BBB8
1,10,4CC51D23,EE0E3AB4
1,11,F9E8AA7A,3208C31A
1,12,DDA8B051,C8105C9D
1,13,ABFB11BF,F5DEC75E
1,14,20639811,6B6A7C47
1,15,AC72ACD2,CA84BC6C
1,16,49A2DA79,E1376725
1,17,63A4E9D7,6166DBA4
1,18,8983F102,43FB6183
1,19,B671AA78,C97AD8A2
1,20,DAEB566A,989E5B3D
1,21,F6181C00,A345AC4B
1,22,4E18D852,A08980DF
1,23,A035CEBA,611DE4C4
1,24,C2416EE4,7323F479
1,25,FBDAFBDD,A0C0CF2F
1,26,A43FBF47,8DE97B10
1,27,6811F7C1,CB07044A
1,28,610DDE2C,8CF5DEB9
1,29,82241B87,BBE27F39
1,30,48647490,EA9551EB
1,31,63DF3B7F,A8B057E1
1,32,433125BB,3221FEF0
1,33,7943BE40,6641EE79
1,34,26C93252,675D2908
1,35,DBE3ED49,A7CFEA56
1,36,C2EC9BB4,BFC0AE9E
1,37,E7EC8559,307064AC
1,38,CCB88B54,2CF00158
1,39,B512E6A4,2B9E708C
1,40,7E2C3D82,A69FB195
1,41,58B3E5AD,23A21253
1,42,9A07C40B,3EA78D8C
1,43,F1F9A54B,7B00DB61
1,44,FBA6212D,B8B8356A
1,45,1CA60615,D753B84A
1,46,A085C93E,19B8504D
1,47,18190603,AD0438B2
1,48,C1143C78,BBDAB3CD
1,49,332063FC,222BA57C
1,50,D6F4066B,AB9EB714
1,51,64B9628C,9CD8B518
1,52,894E6771,8A255C2E
1,53,E3E668E8,FF1F20C3
1,54,36980406,FBDBFA61
1,55,114D2B4A,A617AD4E
1,56,3B8907E1,0C6CBD10
1,57,2CD09C1D,964FB1A7
1,58,6D7A8604,BD6F99C6
1,59,1FADAF42,60010AA3
1,60,92FE7CFD,B54E2773
1,61,1AECB060,9C545EBA
1,62,91778CC3,BD1D1BC0
1,63,E6B7E7EB,D542988E
1,64,6770144C,D2D3C6E7
1,65,C600A248,0A1E0844
1,66,1EA4F830,2EF0F28E
1,67,639604F3,7FE04F83
1,68,6E084A84,B643B17E
1,69,3D7FC476,467D7A44
1,70,EDCA3875,EFADE11E
1,71,B883121D,095C678C
1,72,ACE22797,BC422A9A
1,73,EFD3172D,8C2C3233
1,74,E6AACDB5,7F1C158A
1,75,6566C598,CA804B00
1,76,4E646D9D,CBAE5AC0
1,77,05D81D6F,260C4013
1,78,2018F6A3,5728C7F4
1,79,718EBF0C,4D7D460C
1,80,042A8F17,2093B3F4
