m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,policy_cycles,policy_stall,policy_actions,cold,spec,mismatch
1,0,normal,507,25,308,308,93388,0,0,0,0,0,0
1,0,k4,507,25,308,70,30913,8492,3559,899,1,25,0
1,1,normal,507,15,23,23,13104,0,0,0,0,0,0
1,1,k4,507,15,23,9,7857,2382,197,325,1,15,0
1,2,normal,507,22,181,181,58194,0,0,0,0,0,0
1,2,k4,507,22,181,40,18591,4109,355,653,1,22,0
1,3,normal,507,25,239,239,75108,0,0,0,0,0,0
1,3,k4,507,25,239,53,23259,5294,403,864,1,25,0
1,4,normal,507,24,240,240,74800,0,0,0,0,0,0
1,4,k4,507,24,240,58,24374,5401,633,828,1,24,0
1,5,normal,507,23,155,155,51926,0,0,0,0,0,0
1,5,k4,507,23,155,41,19287,4766,285,793,1,23,0
1,6,normal,507,9,14,14,7881,0,0,0,0,0,0
1,6,k4,507,9,14,4,4340,1320,95,172,1,9,0
1,7,normal,507,23,180,180,58433,0,0,0,0,0,0
1,7,k4,507,23,180,52,22217,4821,283,803,1,23,0
1,8,normal,507,26,261,261,81460,0,0,0,0,0,0
1,8,k4,507,26,261,85,32101,6300,358,1063,1,26,0
1,9,normal,507,24,148,148,50443,0,0,0,0,0,0
1,9,k4,507,24,148,68,26778,4282,245,609,1,24,0
1,10,normal,507,20,93,93,33974,0,0,0,0,0,0
1,10,k4,507,20,93,31,15553,4049,223,630,1,20,0
1,11,normal,507,23,175,175,57084,0,0,0,0,0,0
1,11,k4,507,23,175,45,23224,7909,3177,712,1,23,0
1,12,normal,507,18,42,42,19524,0,0,0,0,0,0
1,12,k4,507,18,42,12,9772,2844,301,371,1,18,0
1,13,normal,507,24,218,218,69025,0,0,0,0,0,0
1,13,k4,507,24,218,55,23343,5333,221,851,1,24,0
1,14,normal,507,21,133,133,45032,0,0,0,0,0,0
1,14,k4,507,21,133,37,17504,3938,384,603,1,21,0
1,15,normal,507,27,333,333,100950,0,0,0,0,0,0
1,15,k4,507,27,333,115,40873,6601,637,1142,1,27,0
1,16,normal,507,25,225,225,71356,0,0,0,0,0,0
1,16,k4,507,25,225,45,20852,6042,156,1000,1,25,0
1,17,normal,507,25,152,152,51927,0,0,0,0,0,0
1,17,k4,507,25,152,45,21362,6258,619,1097,1,25,0
1,18,normal,507,24,216,216,68550,0,0,0,0,0,0
1,18,k4,507,24,216,73,28191,5610,369,982,1,24,0
1,19,normal,507,22,122,122,42602,0,0,0,0,0,0
1,19,k4,507,22,122,47,20245,4061,105,568,1,22,0
1,20,normal,507,27,311,311,95060,0,0,0,0,0,0
1,20,k4,507,27,311,109,38608,5429,282,859,1,27,0
1,21,normal,507,26,200,200,65073,0,0,0,0,0,0
1,21,k4,507,26,200,68,30091,9175,2823,941,1,26,0
1,22,normal,507,15,37,37,16773,0,0,0,0,0,0
1,22,k4,507,15,37,9,7763,2720,140,425,1,15,0
1,23,normal,507,23,141,141,48246,0,0,0,0,0,0
1,23,k4,507,23,141,35,17822,5485,378,946,1,23,0
1,24,normal,507,21,159,159,51947,0,0,0,0,0,0
1,24,k4,507,21,159,40,18164,5149,212,942,1,21,0
1,25,normal,507,25,210,210,67232,0,0,0,0,0,0
1,25,k4,507,25,210,79,30150,5373,593,853,1,25,0
1,26,normal,507,27,215,215,69521,0,0,0,0,0,0
1,26,k4,507,27,215,66,26972,5496,146,862,1,27,0
1,27,normal,507,24,174,174,57276,0,0,0,0,0,0
1,27,k4,507,24,174,41,19649,4903,461,733,1,24,0
1,28,normal,507,25,256,256,79491,0,0,0,0,0,0
1,28,k4,507,25,256,65,26185,5093,138,876,1,25,0
1,29,normal,507,21,133,133,45055,0,0,0,0,0,0
1,29,k4,507,21,133,39,17889,3772,208,558,1,21,0
1,30,normal,507,19,63,63,25497,0,0,0,0,0,0
1,30,k4,507,19,63,26,13994,3553,522,574,1,19,0
1,31,normal,507,27,273,273,84947,0,0,0,0,0,0
1,31,k4,507,27,273,80,30900,6740,302,1198,1,27,0
1,32,normal,507,22,93,93,34902,0,0,0,0,0,0
1,32,k4,507,22,93,26,17472,6855,2920,485,1,22,0
1,33,normal,507,19,93,93,33377,0,0,0,0,0,0
1,33,k4,507,19,93,27,13847,4170,180,725,1,19,0
1,34,normal,507,27,290,290,89406,0,0,0,0,0,0
1,34,k4,507,27,290,107,38319,5701,610,889,1,27,0
1,35,normal,507,16,40,40,18098,0,0,0,0,0,0
1,35,k4,507,16,40,12,9102,2264,281,357,1,16,0
1,36,normal,507,24,229,229,71990,0,0,0,0,0,0
1,36,k4,507,24,229,55,23206,4616,165,683,1,24,0
1,37,normal,507,23,169,169,55572,0,0,0,0,0,0
1,37,k4,507,23,169,44,20205,4247,343,672,1,23,0
1,38,normal,507,21,123,123,42506,0,0,0,0,0,0
1,38,k4,507,21,123,29,15413,3770,152,515,1,21,0
1,39,normal,507,21,105,105,37757,0,0,0,0,0,0
1,39,k4,507,21,105,30,15844,4069,428,627,1,21,0
1,40,normal,507,18,48,48,21090,0,0,0,0,0,0
1,40,k4,507,18,48,13,10052,3142,338,474,1,18,0
1,41,normal,507,24,196,196,63134,0,0,0,0,0,0
1,41,k4,507,24,196,78,29861,5845,697,1059,1,24,0
1,42,normal,507,21,126,126,43228,0,0,0,0,0,0
1,42,k4,507,21,126,35,16969,3689,324,548,1,21,0
1,43,normal,507,28,252,252,79927,0,0,0,0,0,0
1,43,k4,507,28,252,57,28600,8911,3544,858,1,28,0
1,44,normal,507,28,368,368,110654,0,0,0,0,0,0
1,44,k4,507,28,368,118,41357,6340,155,1031,1,28,0
1,45,normal,507,21,131,131,44490,0,0,0,0,0,0
1,45,k4,507,21,131,33,16261,3993,215,648,1,21,0
1,46,normal,507,20,96,96,34808,0,0,0,0,0,0
1,46,k4,507,20,96,21,12691,3809,103,591,1,20,0
1,47,normal,507,21,120,120,41591,0,0,0,0,0,0
1,47,k4,507,21,120,26,14536,3525,325,445,1,21,0
1,48,normal,507,25,157,157,53381,0,0,0,0,0,0
1,48,k4,507,25,157,37,19236,5334,484,892,1,25,0
1,49,normal,507,23,148,148,50019,0,0,0,0,0,0
1,49,k4,507,23,148,40,18920,3949,239,545,1,23,0
1,50,normal,507,26,275,275,85009,0,0,0,0,0,0
1,50,k4,507,26,275,66,26711,5832,172,1073,1,26,0
1,51,normal,507,22,122,122,42502,0,0,0,0,0,0
1,51,k4,507,22,122,23,14212,4236,532,615,1,22,0
1,52,normal,507,26,256,256,79932,0,0,0,0,0,0
1,52,k4,507,26,256,89,32999,5592,268,979,1,26,0
1,53,normal,507,24,167,167,55526,0,0,0,0,0,0
1,53,k4,507,24,167,43,20229,8097,142,783,1,24,0
1,54,normal,507,25,283,283,86727,0,0,0,0,0,0
1,54,k4,507,25,283,71,27948,5890,230,1023,1,25,0
1,55,normal,507,26,269,269,83461,0,0,0,0,0,0
1,55,k4,507,26,269,83,31429,4841,220,709,1,26,0
1,56,normal,507,23,142,142,48367,0,0,0,0,0,0
1,56,k4,507,23,142,55,22734,4654,140,769,1,23,0
1,57,normal,507,24,241,241,75057,0,0,0,0,0,0
1,57,k4,507,24,241,67,26272,5383,160,935,1,24,0
1,58,normal,507,28,369,369,110846,0,0,0,0,0,0
1,58,k4,507,28,369,134,46144,6281,775,1009,1,28,0
1,59,normal,507,24,141,141,48642,0,0,0,0,0,0
1,59,k4,507,24,141,33,17627,5003,319,790,1,24,0
1,60,normal,507,21,135,135,45633,0,0,0,0,0,0
1,60,k4,507,21,135,33,16790,4479,649,675,1,21,0
1,61,normal,507,27,306,306,93683,0,0,0,0,0,0
1,61,k4,507,27,306,97,36141,5907,916,942,1,27,0
1,62,normal,507,24,196,196,63138,0,0,0,0,0,0
1,62,k4,507,24,196,44,20301,5063,284,819,1,24,0
1,63,normal,507,19,67,67,26612,0,0,0,0,0,0
1,63,k4,507,19,67,14,10442,2899,103,380,1,19,0
1,64,normal,507,23,129,129,44879,0,0,0,0,0,0
1,64,k4,507,23,129,37,21751,8108,3706,833,1,23,0
1,65,normal,507,26,277,277,85473,0,0,0,0,0,0
1,65,k4,507,26,277,94,34133,5407,111,874,1,26,0
1,66,normal,507,15,45,45,18967,0,0,0,0,0,0
1,66,k4,507,15,45,12,8864,2776,368,429,1,15,0
1,67,normal,507,22,105,105,38126,0,0,0,0,0,0
