target,seed,normal_cycles,h4_cycles,delta_cycles,speedup,normal_iter,h4_iter,delta_iter
1,0,351394,100177,251217,3.5077313155714385,308,70,238
1,1,43019,22147,20872,1.9424301259764303,23,9,14
1,2,216220,62558,153662,3.45631254196106,181,40,141
1,3,280680,77526,203154,3.6204628124758145,239,51,188
1,4,279106,83884,195222,3.327285298745887,240,58,182
1,5,190096,62628,127468,3.0353196653254138,155,41,114
1,6,26182,11897,14285,2.2007228713120957,14,4,10
1,7,215431,73675,141756,2.924071937563624,180,52,128
1,8,304443,109490,194953,2.7805553018540508,261,83,178
1,9,185333,81186,104147,2.2828196979774837,148,57,91
1,10,122239,48628,73611,2.5137575059636426,93,30,63
1,11,209839,68637,141202,3.0572286084764775,175,44,131
1,12,66692,25958,40734,2.5692272131905387,42,10,32
1,13,259163,77845,181318,3.3292183184533366,218,52,166
1,14,166454,59334,107120,2.8053729733373785,133,36,97
1,15,380457,131574,248883,2.891581923480323,333,101,232
1,16,265773,69469,196304,3.825778404756078,225,45,180
1,17,190776,61386,129390,3.1078095982797382,152,35,117
1,18,255323,95252,160071,2.680500146978541,216,70,146
1,19,155688,65686,90002,2.370185427640593,122,42,80
1,20,358942,129272,229670,2.7766415000928277,311,100,211
1,21,240495,94180,146315,2.553567636440858,200,62,138
1,22,57533,21764,35769,2.6434938430435584,37,9,28
1,23,177183,56539,120644,3.1338191336953254,141,31,110
1,24,192097,57567,134530,3.3369291434328696,159,37,122
1,25,250284,107458,142826,2.329133242755309,210,79,131
1,26,256978,87340,169638,2.9422715823219603,215,61,154
1,27,211514,63756,147758,3.3175544262500782,174,40,134
1,28,297623,87408,210215,3.4049858136555007,256,63,193
1,29,164586,57017,107569,2.8866127646140627,133,37,96
1,30,89246,44299,44947,2.014627869703605,63,25,38
1,31,316979,101347,215632,3.1276604142204505,273,74,199
1,32,124879,46805,78074,2.6680696506783463,93,25,68
1,33,120166,45183,74983,2.6595400925126707,93,26,67
1,34,335300,135819,199481,2.4687267613515047,290,106,184
1,35,62917,27433,35484,2.2934786570918235,40,12,28
1,36,268747,73963,194784,3.63353298270757,229,51,178
1,37,205114,66083,139031,3.1038845088752023,169,43,126
1,38,155349,46202,109147,3.3623869096575905,123,26,97
1,39,136869,50712,86157,2.6989469947941314,105,29,76
1,40,73269,29978,43291,2.4440923343785443,48,13,35
1,41,232935,96820,136115,2.4058562280520555,196,73,123
1,42,158034,55864,102170,2.828905914363454,126,35,91
1,43,297710,89217,208493,3.336920093704115,252,57,195
1,44,416564,143303,273261,2.906875641124052,368,115,253
1,45,162206,52001,110205,3.1192861675737005,131,33,98
1,46,126679,39478,87201,3.208850499012108,96,20,76
