target,seed,seed_j_equal,seed_meas_equal,trial_count_equal,l_bbht_equal,success_equal,result_valid_equal,result_index_equal,timeout_equal,unexpected_error_equal,terminal_limit_equal,status_exact_equal,observed_logical_semantics_equal,normal_trial_count,h4_trial_count,normal_l_bbht,h4_l_bbht,normal_result_index,h4_result_index
1,0,1,1,1,1,1,1,1,1,1,1,1,1,25,25,308,308,507,507
1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,23,23,507,507
1,2,1,1,1,1,1,1,1,1,1,1,1,1,22,22,181,181,507,507
1,3,1,1,1,1,1,1,1,1,1,1,1,1,25,25,239,239,507,507
1,4,1,1,1,1,1,1,1,1,1,1,1,1,24,24,240,240,507,507
1,5,1,1,1,1,1,1,1,1,1,1,1,1,23,23,155,155,507,507
1,6,1,1,1,1,1,1,1,1,1,1,1,1,9,9,14,14,507,507
1,7,1,1,1,1,1,1,1,1,1,1,1,1,23,23,180,180,507,507
1,8,1,1,1,1,1,1,1,1,1,1,1,1,26,26,261,261,507,507
1,9,1,1,1,1,1,1,1,1,1,1,1,1,24,24,148,148,507,507
1,10,1,1,1,1,1,1,1,1,1,1,1,1,20,20,93,93,507,507
1,11,1,1,1,1,1,1,1,1,1,1,1,1,23,23,175,175,507,507
1,12,1,1,1,1,1,1,1,1,1,1,1,1,18,18,42,42,507,507
1,13,1,1,1,1,1,1,1,1,1,1,1,1,24,24,218,218,507,507
1,14,1,1,1,1,1,1,1,1,1,1,1,1,21,21,133,133,507,507
1,15,1,1,1,1,1,1,1,1,1,1,1,1,27,27,333,333,507,507
1,16,1,1,1,1,1,1,1,1,1,1,1,1,25,25,225,225,507,507
1,17,1,1,1,1,1,1,1,1,1,1,1,1,25,25,152,152,507,507
1,18,1,1,1,1,1,1,1,1,1,1,1,1,24,24,216,216,507,507
1,19,1,1,1,1,1,1,1,1,1,1,1,1,22,22,122,122,507,507
1,20,1,1,1,1,1,1,1,1,1,1,1,1,27,27,311,311,507,507
1,21,1,1,1,1,1,1,1,1,1,1,1,1,26,26,200,200,507,507
1,22,1,1,1,1,1,1,1,1,1,1,1,1,15,15,37,37,507,507
1,23,1,1,1,1,1,1,1,1,1,1,1,1,23,23,141,141,507,507
1,24,1,1,1,1,1,1,1,1,1,1,1,1,21,21,159,159,507,507
1,25,1,1,1,1,1,1,1,1,1,1,1,1,25,25,210,210,507,507
1,26,1,1,1,1,1,1,1,1,1,1,1,1,27,27,215,215,507,507
1,27,1,1,1,1,1,1,1,1,1,1,1,1,24,24,174,174,507,507
1,28,1,1,1,1,1,1,1,1,1,1,1,1,25,25,256,256,507,507
1,29,1,1,1,1,1,1,1,1,1,1,1,1,21,21,133,133,507,507
1,30,1,1,1,1,1,1,1,1,1,1,1,1,19,19,63,63,507,507
1,31,1,1,1,1,1,1,1,1,1,1,1,1,27,27,273,273,507,507
1,32,1,1,1,1,1,1,1,1,1,1,1,1,22,22,93,93,507,507
1,33,1,1,1,1,1,1,1,1,1,1,1,1,19,19,93,93,507,507
1,34,1,1,1,1,1,1,1,1,1,1,1,1,27,27,290,290,507,507
1,35,1,1,1,1,1,1,1,1,1,1,1,1,16,16,40,40,507,507
1,36,1,1,1,1,1,1,1,1,1,1,1,1,24,24,229,229,507,507
1,37,1,1,1,1,1,1,1,1,1,1,1,1,23,23,169,169,507,507
1,38,1,1,1,1,1,1,1,1,1,1,1,1,21,21,123,123,507,507
1,39,1,1,1,1,1,1,1,1,1,1,1,1,21,21,105,105,507,507
1,40,1,1,1,1,1,1,1,1,1,1,1,1,18,18,48,48,507,507
1,41,1,1,1,1,1,1,1,1,1,1,1,1,24,24,196,196,507,507
1,42,1,1,1,1,1,1,1,1,1,1,1,1,21,21,126,126,507,507
1,43,1,1,1,1,1,1,1,1,1,1,1,1,28,28,252,252,507,507
1,44,1,1,1,1,1,1,1,1,1,1,1,1,28,28,368,368,507,507
1,45,1,1,1,1,1,1,1,1,1,1,1,1,21,21,131,131,507,507
1,46,1,1,1,1,1,1,1,1,1,1,1,1,20,20,96,96,507,507
1,47,1,1,1,1,1,1,1,1,1,1,1,1,21,21,120,120,507,507
1,48,1,1,1,1,1,1,1,1,1,1,1,1,25,25,157,157,507,507
1,49,1,1,1,1,1,1,1,1,1,1,1,1,23,23,148,148,507,507
4,0,1,1,1,1,1,1,1,1,1,1,1,1,21,21,119,119,8685,8685
4,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23,132,132,8685,8685
