target_count,seed_index,seed_j,seed_meas,mode,success,result_valid,result_index,trial_count,l_bbht,actual_iter,cycle_count,timer_hi,timer_lo,status,timeout,unexpected_error,terminal_limit,elapsed_us
1,0,0x7b1dcdaf,0x24370df2,1,1,1,507,25,308,70,100177,0,1007,0x0000080c,0,0,0,1007
1,1,0x3a85a4dc,0xa3b9aa35,1,1,1,507,15,23,9,22147,0,226,0x0000080c,0,0,0,226
1,2,0x6162a8b2,0x871c276f,1,1,1,507,22,181,40,62558,0,631,0x0000080c,0,0,0,631
1,3,0xc3adc34e,0xf5b8f22b,1,1,1,507,25,239,51,77526,0,779,0x0000080c,0,0,0,779
1,4,0x2bb073ff,0x3f8396e3,1,1,1,507,24,240,58,83884,0,844,0x0000080c,0,0,0,844
1,5,0xda585ab3,0xa7197ad7,1,1,1,507,23,155,41,62628,0,631,0x0000080c,0,0,0,631
1,6,0x0ed109c0,0x5701ce52,1,1,1,507,9,14,4,11897,0,124,0x0000080c,0,0,0,124
1,7,0x102ecf73,0x53c7612b,1,1,1,507,23,180,52,73675,0,741,0x0000080c,0,0,0,741
1,8,0xcf29b6a1,0x35231a84,1,1,1,507,26,261,83,109490,0,1100,0x0000080c,0,0,0,1100
1,9,0xc49cbb42,0xd0a3bbb8,1,1,1,507,24,148,57,81186,0,817,0x0000080c,0,0,0,817
1,10,0x4cc51d23,0xee0e3ab4,1,1,1,507,20,93,30,48628,0,490,0x0000080c,0,0,0,490
1,11,0xf9e8aa7a,0x3208c31a,1,1,1,507,23,175,44,68637,0,691,0x0000080c,0,0,0,691
1,12,0xdda8b051,0xc8105c9d,1,1,1,507,18,42,10,25958,0,264,0x0000080c,0,0,0,264
1,13,0xabfb11bf,0xf5dec75e,1,1,1,507,24,218,52,77845,0,783,0x0000080c,0,0,0,783
1,14,0x20639811,0x6b6a7c47,1,1,1,507,21,133,36,59334,0,598,0x0000080c,0,0,0,598
1,15,0xac72acd2,0xca84bc6c,1,1,1,507,27,333,101,131574,0,1320,0x0000080c,0,0,0,1320
1,16,0x49a2da79,0xe1376725,1,1,1,507,25,225,45,69469,0,699,0x0000080c,0,0,0,699
1,17,0x63a4e9d7,0x6166dba4,1,1,1,507,25,152,35,61386,0,618,0x0000080c,0,0,0,618
1,18,0x8983f102,0x43fb6183,1,1,1,507,24,216,70,95252,0,958,0x0000080c,0,0,0,958
1,19,0xb671aa78,0xc97ad8a2,1,1,1,507,22,122,42,65686,0,661,0x0000080c,0,0,0,661
1,20,0xdaeb566a,0x989e5b3d,1,1,1,507,27,311,100,129272,0,1298,0x0000080c,0,0,0,1298
1,21,0xf6181c00,0xa345ac4b,1,1,1,507,26,200,62,94180,0,947,0x0000080c,0,0,0,947
1,22,0x4e18d852,0xa08980df,1,1,1,507,15,37,9,21764,0,222,0x0000080c,0,0,0,222
1,23,0xa035ceba,0x611de4c4,1,1,1,507,23,141,31,56539,0,571,0x0000080c,0,0,0,571
1,24,0xc2416ee4,0x7323f479,1,1,1,507,21,159,37,57567,0,581,0x0000080c,0,0,0,581
1,25,0xfbdafbdd,0xa0c0cf2f,1,1,1,507,25,210,79,107458,0,1080,0x0000080c,0,0,0,1080
1,26,0xa43fbf47,0x8de97b10,1,1,1,507,27,215,61,87340,0,877,0x0000080c,0,0,0,877
1,27,0x6811f7c1,0xcb07044a,1,1,1,507,24,174,40,63756,0,642,0x0000080c,0,0,0,642
1,28,0x610dde2c,0x8cf5deb9,1,1,1,507,25,256,63,87408,0,879,0x0000080c,0,0,0,879
1,29,0x82241b87,0xbbe27f39,1,1,1,507,21,133,37,57017,0,575,0x0000080c,0,0,0,575
1,30,0x48647490,0xea9551eb,1,1,1,507,19,63,25,44299,0,448,0x0000080c,0,0,0,448
1,31,0x63df3b7f,0xa8b057e1,1,1,1,507,27,273,74,101347,0,1018,0x0000080c,0,0,0,1018
1,32,0x433125bb,0x3221fef0,1,1,1,507,22,93,25,46805,0,473,0x0000080c,0,0,0,473
1,33,0x7943be40,0x6641ee79,1,1,1,507,19,93,26,45183,0,458,0x0000080c,0,0,0,458
1,34,0x26c93252,0x675d2908,1,1,1,507,27,290,106,135819,0,1363,0x0000088c,0,0,0,1363
1,35,0xdbe3ed49,0xa7cfea56,1,1,1,507,16,40,12,27433,0,279,0x0000080c,0,0,0,279
1,36,0xc2ec9bb4,0xbfc0ae9e,1,1,1,507,24,229,51,73963,0,745,0x0000080c,0,0,0,745
1,37,0xe7ec8559,0x307064ac,1,1,1,507,23,169,43,66083,0,666,0x0000080c,0,0,0,666
1,38,0xccb88b54,0x2cf00158,1,1,1,507,21,123,26,46202,0,467,0x0000080c,0,0,0,467
1,39,0xb512e6a4,0x2b9e708c,1,1,1,507,21,105,29,50712,0,512,0x0000080c,0,0,0,512
1,40,0x7e2c3d82,0xa69fb195,1,1,1,507,18,48,13,29978,0,304,0x0000080c,0,0,0,304
1,41,0x58b3e5ad,0x23a21253,1,1,1,507,24,196,73,96820,0,973,0x0000080c,0,0,0,973
1,42,0x9a07c40b,0x3ea78d8c,1,1,1,507,21,126,35,55864,0,563,0x0000080c,0,0,0,563
1,43,0xf1f9a54b,0x7b00db61,1,1,1,507,28,252,57,89217,0,896,0x0000080c,0,0,0,896
1,44,0xfba6212d,0xb8b8356a,1,1,1,507,28,368,115,143303,0,1438,0x0000088c,0,0,0,1438
1,45,0x1ca60615,0xd753b84a,1,1,1,507,21,131,33,52001,0,525,0x0000080c,0,0,0,525
1,46,0xa085c93e,0x19b8504d,1,1,1,507,20,96,20,39478,0,401,0x0000080c,0,0,0,401
1,47,0x18190603,0xad0438b2,1,1,1,507,21,120,26,45816,0,464,0x0000080c,0,0,0,464
1,48,0xc1143c78,0xbbdab3cd,1,1,1,507,25,157,36,64286,0,649,0x0000080c,0,0,0,649
1,49,0x332063fc,0x222ba57c,1,1,1,507,23,148,40,62808,0,632,0x0000080c,0,0,0,632
1,50,0xd6f4066b,0xab9eb714,1,1,1,507,26,275,63,87605,0,881,0x0000080c,0,0,0,881
1,51,0x64b9628c,0x9cd8b518,1,1,1,507,22,122,23,44485,0,449,0x0000080c,0,0,0,449
1,52,0x894e6771,0x8a255c2e,1,1,1,507,26,256,85,115885,0,1164,0x0000080c,0,0,0,1164
1,53,0xe3e668e8,0xff1f20c3,1,1,1,507,24,167,43,66738,0,672,0x0000080c,0,0,0,672
1,54,0x36980406,0xfbdbfa61,1,1,1,507,25,283,69,94879,0,954,0x0000080c,0,0,0,954
1,55,0x114d2b4a,0xa617ad4e,1,1,1,507,26,269,83,109695,0,1101,0x0000080c,0,0,0,1101
1,56,0x3b8907e1,0x0c6cbd10,1,1,1,507,23,142,54,76606,0,772,0x0000080c,0,0,0,772
1,57,0x2cd09c1d,0x964fb1a7,1,1,1,507,24,241,53,76057,0,765,0x0000080c,0,0,0,765
1,58,0x6d7a8604,0xbd6f99c6,1,1,1,507,28,369,134,167976,0,1685,0x0000088c,0,0,0,1685
1,59,0x1fadaf42,0x60010aa3,1,1,1,507,24,141,28,50966,0,514,0x0000080c,0,0,0,514
1,60,0x92fe7cfd,0xb54e2773,1,1,1,507,21,135,31,53078,0,537,0x0000080c,0,0,0,537
1,61,0x1aecb060,0x9c545eba,1,1,1,507,27,306,63,92435,0,929,0x0000080c,0,0,0,929
1,62,0x91778cc3,0xbd1d1bc0,1,1,1,507,24,196,44,67176,0,677,0x0000080c,0,0,0,677
1,63,0xe6b7e7eb,0xd542988e,1,1,1,507,19,67,13,30574,0,310,0x0000080c,0,0,0,310
1,64,0x6770144c,0xd2d3c6e7,1,1,1,507,23,129,35,61108,0,615,0x0000080c,0,0,0,615
1,65,0xc600a248,0x0a1e0844,1,1,1,507,26,277,92,117805,0,1183,0x0000080c,0,0,0,1183
1,66,0x1ea4f830,0x2ef0f28e,1,1,1,507,15,45,12,25437,0,260,0x0000080c,0,0,0,260
1,67,0x639604f3,0x7fe04f83,1,1,1,507,22,105,45,67303,0,679,0x0000080c,0,0,0,679
1,68,0x6e084a84,0xb643b17e,1,1,1,507,26,239,79,105947,0,1064,0x0000080c,0,0,0,1064
1,69,0x3d7fc476,0x467d7a44,1,1,1,507,23,160,55,76997,0,775,0x0000080c,0,0,0,775
1,70,0xedca3875,0xefade11e,1,1,1,507,26,243,88,117806,0,1183,0x0000080c,0,0,0,1183
1,71,0xb883121d,0x095c678c,1,1,1,507,25,235,38,62593,0,631,0x0000080c,0,0,0,631
1,72,0xace22797,0xbc422a9a,1,1,1,507,12,15,4,13875,0,145,0x0000080c,0,0,0,145
1,73,0xefd3172d,0x8c2c3233,1,1,1,507,19,49,12,29993,0,305,0x0000080c,0,0,0,305
