configuration,target_count,runs,sum_us,mean_us,median_us,p95_us,min_us,max_us,sum_cycles,mean_cycles,median_cycles
K4H4_E1_Normal_mode0,1,100,209754,2097.54,2010.0,3810,266,4854,20925435,209254.35,200508.0
K4H4_E1_Normal_mode0,4,100,106615,1066.15,1054.5,1895,170,2571,10610940,106109.4,104990.0
K4H4_E1_Normal_mode0,16,100,61934,619.34,575.0,1157,38,1553,6144315,61443.15,57035.0
K4H4_E1_Normal_mode0,64,100,30990,309.9,289.0,614,20,1045,3048709,30487.09,28465.5
K4H4_E1_Normal_mode0,256,100,16209,162.09,149.5,306,20,356,1571533,15715.33,14545.0
K4H4_E1_Normal_mode0,ALL,500,425502,851.004,525.0,2810,20,4854,42300932,84601.864,51948.5
K4H4_E1_Optimized_mode1,1,100,72598,725.98,669.0,1363,124,1698,7210697,72106.97,66410.5
K4H4_E1_Optimized_mode1,4,100,40806,408.06,400.5,720,115,896,4031216,40312.16,39503.0
K4H4_E1_Optimized_mode1,16,100,26272,262.72,252.0,479,34,576,2577178,25771.78,24656.0
K4H4_E1_Optimized_mode1,64,100,15620,156.2,155.0,278,21,396,1512292,15122.92,14990.5
K4H4_E1_Optimized_mode1,256,100,9601,96.01,91.5,157,21,186,910970,9109.7,8640.5
K4H4_E1_Optimized_mode1,ALL,500,164897,329.794,235.5,929,21,1698,16242353,32484.706,23051.0
K3H3_E4_M2_Official_mode1,1,100,22818,228.18,214.0,411,48,470,2232584,22325.84,20871.5
K3H3_E4_M2_Official_mode1,4,100,13748,137.48,135.5,227,47,282,1323661,13236.61,13122.5
K3H3_E4_M2_Official_mode1,16,100,9432,94.32,92.0,162,17,189,892367,8923.67,8680.5
K3H3_E4_M2_Official_mode1,64,100,5942,59.42,56.5,102,10,147,543909,5439.09,5193.5
K3H3_E4_M2_Official_mode1,256,100,3858,38.58,36.5,62,11,69,336356,3363.56,3127.0
K3H3_E4_M2_Official_mode1,ALL,500,55798,111.596,87.5,285,10,470,5328877,10657.754,8219.0
