target_count,seed_index,result_index,trial_count,L_BBHT,orca_sw_us,m2_hw_us,m2_vs_orca_speedup
1,0,507,25,308,58716914,314,186996.5414012739
1,1,507,15,23,5666325,83,68268.97590361445
1,2,507,22,181,35266252,191,184640.06282722513
1,3,507,25,239,46212612,237,194989.92405063292
1,4,507,24,240,46131226,249,185265.96787148595
1,5,507,23,155,30551122,198,154298.59595959596
1,6,507,9,14,3456002,48,72000.04166666667
1,7,507,23,180,35052110,227,154414.58149779736
1,8,507,26,261,50282409,326,154240.51840490798
1,9,507,24,148,29540837,272,108606.01838235294
1,10,507,20,93,18968103,160,118550.64375
1,11,507,23,175,34084111,237,143814.81434599156
1,12,507,18,42,9442421,103,91673.99029126213
1,13,507,24,218,42486510,237,179267.9746835443
1,14,507,21,133,26572680,179,148450.72625698324
1,15,507,27,333,63549283,413,153872.35593220338
1,16,507,25,225,43613806,214,203802.83177570094
1,17,507,25,152,30361103,218,139271.1146788991
1,18,507,24,216,41882456,286,146442.15384615384
1,19,507,22,122,24569546,208,118122.81730769231
1,20,507,27,311,59703356,391,152694.0051150895
1,21,507,26,200,39070321,305,128099.4131147541
1,22,507,15,37,8224664,83,99092.3373493976
1,23,507,23,141,28196881,184,153243.91847826086
1,24,507,21,159,31152004,187,166588.256684492
1,25,507,25,210,40886312,307,133180.1693811075
1,26,507,27,215,41865542,274,152793.9489051095
1,27,507,24,174,34186883,201,170083.99502487562
1,28,507,25,256,49242927,266,185123.7857142857
1,29,507,21,133,26328637,184,143090.41847826086
1,30,507,19,63,13319725,144,92498.09027777778
1,31,507,27,273,52433254,313,167518.38338658147
1,32,507,22,93,19182921,179,107167.156424581
1,33,507,19,93,18777998,142,132239.42253521126
1,34,507,27,290,55626240,387,143737.0542635659
1,35,507,16,40,8993162,96,93678.77083333333
1,36,507,24,229,44256504,237,186736.30379746837
1,37,507,23,169,33177704,208,159508.1923076923
1,38,507,21,123,24646422,159,155008.94339622642
1,39,507,21,105,21381187,164,130373.09146341463
1,40,507,18,48,10589906,105,100856.24761904762
1,41,507,24,196,38025580,304,125084.1447368421
1,42,507,21,126,25135093,174,144454.55747126436
1,43,507,28,252,48846762,291,167858.28865979382
1,44,507,28,368,69852991,418,167112.41866028708
1,45,507,21,131,25925503,168,154318.47023809524
1,46,507,20,96,19691604,132,149178.81818181818
1,47,507,21,120,24004059,150,160027.06
1,48,507,25,157,31322413,197,158997.02030456852
1,49,507,23,148,29490154,193,152798.72538860104
1,50,507,26,275,52735230,272,193879.52205882352
1,51,507,22,122,24443955,147,166285.4081632653
1,52,507,26,256,49465177,335,147657.2447761194
1,53,507,24,167,32963196,208,158476.90384615384
1,54,507,25,283,54237246,285,190306.12631578947
1,55,507,26,269,51659156,319,161940.92789968653
1,56,507,23,142,28250421,233,121246.44206008584
1,57,507,24,241,46370608,268,173024.6567164179
1,58,507,28,369,70231443,466,150711.25107296137
