target_count,seed_index,seed_j,seed_meas,success,result_index,trial_count,L_BBHT,grover_iterations,termination,saturations,timer_hi,timer_lo,elapsed_us
1,0,2065550767,607587826,1,507,25,308,308,0,0,0,58716914,58716914
1,1,981837020,2746853941,1,507,15,23,23,0,0,0,5666325,5666325
1,2,1633855666,2266769263,1,507,22,181,181,0,0,0,35266252,35266252
1,3,3282944846,4122538539,1,507,25,239,239,0,0,0,46212612,46212612
1,4,732984319,1065588451,1,507,24,240,240,0,0,0,46131226,46131226
1,5,3663223475,2803464919,1,507,23,155,155,0,0,0,30551122,30551122
1,6,248580544,1459736146,1,507,9,14,14,0,0,0,3456002,3456002
1,7,271503219,1405575467,1,507,23,180,180,0,0,0,35052110,35052110
1,8,3475617441,891492996,1,507,26,261,261,0,0,0,50282409,50282409
1,9,3298605890,3500391352,1,507,24,148,148,0,0,0,29540837,29540837
1,10,1287986467,3993909940,1,507,20,93,93,0,0,0,18968103,18968103
1,11,4192774778,839435034,1,507,23,175,175,0,0,0,34084111,34084111
1,12,3718819921,3356515485,1,507,18,42,42,0,0,0,9442421,9442421
1,13,2885358015,4125017950,1,507,24,218,218,0,0,0,42486510,42486510
1,14,543397905,1802140743,1,507,21,133,133,0,0,0,26572680,26572680
1,15,2893196498,3397696620,1,507,27,333,333,0,0,0,63549283,63549283
1,16,1235409529,3778504485,1,507,25,225,225,0,0,0,43613806,43613806
1,17,1671752151,1634130852,1,507,25,152,152,0,0,0,30361103,30361103
1,18,2307125506,1140547971,1,507,24,216,216,0,0,0,41882456,41882456
1,19,3060902520,3380271266,1,507,22,122,122,0,0,0,24569546,24569546
1,20,3672856170,2560514877,1,507,27,311,311,0,0,0,59703356,59703356
1,21,4128775168,2739252299,1,507,26,200,200,0,0,0,39070321,39070321
1,22,1310251090,2693365983,1,507,15,37,37,0,0,0,8224664,8224664
1,23,2687880890,1629349060,1,507,23,141,141,0,0,0,28196881,28196881
1,24,3259068132,1931736185,1,507,21,159,159,0,0,0,31152004,31152004
1,25,4225432541,2696990511,1,507,25,210,210,0,0,0,40886312,40886312
1,26,2755641159,2380888848,1,507,27,215,215,0,0,0,41865542,41865542
1,27,1746008001,3406234698,1,507,24,174,174,0,0,0,34186883,34186883
1,28,1628298796,2364923577,1,507,25,256,256,0,0,0,49242927,49242927
1,29,2183404423,3152183097,1,507,21,133,133,0,0,0,26328637,26328637
1,30,1214542992,3935654379,1,507,19,63,63,0,0,0,13319725,13319725
1,31,1675574143,2830129121,1,507,27,273,273,0,0,0,52433254,52433254
1,32,1127294395,841088752,1,507,22,93,93,0,0,0,19182921,19182921
1,33,2034482752,1715596921,1,507,19,93,93,0,0,0,18777998,18777998
1,34,650719826,1734158600,1,507,27,290,290,0,1,0,55626240,55626240
1,35,3689147721,2815421014,1,507,16,40,40,0,0,0,8993162,8993162
1,36,3270286260,3217075870,1,507,24,229,229,0,0,0,44256504,44256504
1,37,3891037529,812672172,1,507,23,169,169,0,0,0,33177704,33177704
1,38,3434646356,753926488,1,507,21,123,123,0,0,0,24646422,24646422
1,39,3037914788,731803788,1,507,21,105,105,0,0,0,21381187,21381187
