m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
1,0,normal,507,25,308,308,93388,0
1,0,ckpt,507,25,308,70,30913,0
1,1,normal,507,15,23,23,13104,0
1,1,ckpt,507,15,23,9,7857,0
1,2,normal,507,22,181,181,58194,0
1,2,ckpt,507,22,181,40,18591,0
1,3,normal,507,25,239,239,75108,0
1,3,ckpt,507,25,239,53,23259,0
1,4,normal,507,24,240,240,74800,0
1,4,ckpt,507,24,240,58,24374,0
1,5,normal,507,23,155,155,51926,0
1,5,ckpt,507,23,155,41,19287,0
1,6,normal,507,9,14,14,7881,0
1,6,ckpt,507,9,14,4,4340,0
1,7,normal,507,23,180,180,58433,0
1,7,ckpt,507,23,180,52,22217,0
1,8,normal,507,26,261,261,81460,0
1,8,ckpt,507,26,261,85,32101,0
1,9,normal,507,24,148,148,50443,0
1,9,ckpt,507,24,148,68,26778,0
1,10,normal,507,20,93,93,33974,0
1,10,ckpt,507,20,93,31,15553,0
1,11,normal,507,23,175,175,57084,0
1,11,ckpt,507,23,175,45,23224,0
1,12,normal,507,18,42,42,19524,0
1,12,ckpt,507,18,42,12,9772,0
1,13,normal,507,24,218,218,69025,0
1,13,ckpt,507,24,218,55,23343,0
1,14,normal,507,21,133,133,45032,0
1,14,ckpt,507,21,133,37,17504,0
1,15,normal,507,27,333,333,100950,0
1,15,ckpt,507,27,333,115,40873,0
1,16,normal,507,25,225,225,71356,0
1,16,ckpt,507,25,225,45,20852,0
1,17,normal,507,25,152,152,51927,0
1,17,ckpt,507,25,152,45,21362,0
1,18,normal,507,24,216,216,68550,0
1,18,ckpt,507,24,216,73,28191,0
1,19,normal,507,22,122,122,42602,0
1,19,ckpt,507,22,122,47,20245,0
1,20,normal,507,27,311,311,95060,0
1,20,ckpt,507,27,311,109,38608,0
1,21,normal,507,26,200,200,65073,0
1,21,ckpt,507,26,200,68,30091,0
1,22,normal,507,15,37,37,16773,0
1,22,ckpt,507,15,37,9,7763,0
1,23,normal,507,23,141,141,48246,0
1,23,ckpt,507,23,141,35,17822,0
1,24,normal,507,21,159,159,51947,0
1,24,ckpt,507,21,159,40,18164,0
1,25,normal,507,25,210,210,67232,0
1,25,ckpt,507,25,210,79,30150,0
1,26,normal,507,27,215,215,69521,0
1,26,ckpt,507,27,215,66,26972,0
1,27,normal,507,24,174,174,57276,0
1,27,ckpt,507,24,174,41,19649,0
1,28,normal,507,25,256,256,79491,0
1,28,ckpt,507,25,256,65,26185,0
1,29,normal,507,21,133,133,45055,0
1,29,ckpt,507,21,133,39,17889,0
1,30,normal,507,19,63,63,25497,0
1,30,ckpt,507,19,63,26,13994,0
1,31,normal,507,27,273,273,84947,0
1,31,ckpt,507,27,273,80,30900,0
1,32,normal,507,22,93,93,34902,0
1,32,ckpt,507,22,93,26,17472,0
1,33,normal,507,19,93,93,33377,0
1,33,ckpt,507,19,93,27,13847,0
1,34,normal,507,27,290,290,89406,0
1,34,ckpt,507,27,290,107,38319,0
1,35,normal,507,16,40,40,18098,0
1,35,ckpt,507,16,40,12,9102,0
1,36,normal,507,24,229,229,71990,0
1,36,ckpt,507,24,229,55,23206,0
1,37,normal,507,23,169,169,55572,0
1,37,ckpt,507,23,169,44,20205,0
1,38,normal,507,21,123,123,42506,0
1,38,ckpt,507,21,123,29,15413,0
1,39,normal,507,21,105,105,37757,0
1,39,ckpt,507,21,105,30,15844,0
1,40,normal,507,18,48,48,21090,0
1,40,ckpt,507,18,48,13,10052,0
1,41,normal,507,24,196,196,63134,0
1,41,ckpt,507,24,196,78,29861,0
1,42,normal,507,21,126,126,43228,0
1,42,ckpt,507,21,126,35,16969,0
1,43,normal,507,28,252,252,79927,0
1,43,ckpt,507,28,252,57,28600,0
1,44,normal,507,28,368,368,110654,0
1,44,ckpt,507,28,368,118,41357,0
1,45,normal,507,21,131,131,44490,0
1,45,ckpt,507,21,131,33,16261,0
1,46,normal,507,20,96,96,34808,0
1,46,ckpt,507,20,96,21,12691,0
1,47,normal,507,21,120,120,41591,0
1,47,ckpt,507,21,120,26,14536,0
1,48,normal,507,25,157,157,53381,0
1,48,ckpt,507,25,157,37,19236,0
1,49,normal,507,23,148,148,50019,0
1,49,ckpt,507,23,148,40,18920,0
1,50,normal,507,26,275,275,85009,0
1,50,ckpt,507,26,275,66,26711,0
1,51,normal,507,22,122,122,42502,0
1,51,ckpt,507,22,122,23,14212,0
1,52,normal,507,26,256,256,79932,0
1,52,ckpt,507,26,256,89,32999,0
1,53,normal,507,24,167,167,55526,0
1,53,ckpt,507,24,167,43,20229,0
1,54,normal,507,25,283,283,86727,0
1,54,ckpt,507,25,283,71,27948,0
1,55,normal,507,26,269,269,83461,0
1,55,ckpt,507,26,269,83,31429,0
1,56,normal,507,23,142,142,48367,0
1,56,ckpt,507,23,142,55,22734,0
1,57,normal,507,24,241,241,75057,0
1,57,ckpt,507,24,241,67,26272,0
1,58,normal,507,28,369,369,110846,0
1,58,ckpt,507,28,369,134,46144,0
1,59,normal,507,24,141,141,48642,0
1,59,ckpt,507,24,141,33,17627,0
1,60,normal,507,21,135,135,45633,0
1,60,ckpt,507,21,135,33,16790,0
1,61,normal,507,27,306,306,93683,0
1,61,ckpt,507,27,306,97,36141,0
1,62,normal,507,24,196,196,63138,0
1,62,ckpt,507,24,196,44,20301,0
1,63,normal,507,19,67,67,26612,0
1,63,ckpt,507,19,67,14,10442,0
1,64,normal,507,23,129,129,44879,0
1,64,ckpt,507,23,129,37,21751,0
1,65,normal,507,26,277,277,85473,0
1,65,ckpt,507,26,277,94,34133,0
1,66,normal,507,15,45,45,18967,0
1,66,ckpt,507,15,45,12,8864,0
1,67,normal,507,22,105,105,38126,0
1,67,ckpt,507,22,105,48,20891,0
1,68,normal,507,26,239,239,75659,0
1,68,ckpt,507,26,239,80,30678,0
1,69,normal,507,23,160,160,53116,0
1,69,ckpt,507,23,160,56,23097,0
1,70,normal,507,26,243,243,76504,0
1,70,ckpt,507,26,243,98,36016,0
1,71,normal,507,25,235,235,73961,0
