m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
1,0,dram,507,25,308,70,139186,0
1,1,dram,507,15,23,0,16179,0
1,2,dram,507,22,181,0,26689,0
1,3,dram,507,25,239,0,31238,0
1,4,dram,507,24,240,0,29146,0
1,5,dram,507,23,155,0,26392,0
1,6,dram,507,9,14,0,10181,0
1,7,dram,507,23,180,0,28998,0
1,8,dram,507,26,261,8,44161,0
1,9,dram,507,24,148,0,29377,0
1,10,dram,507,20,93,0,24642,0
1,11,dram,507,23,175,0,27023,0
1,12,dram,507,18,42,0,21260,0
1,13,dram,507,24,218,0,30897,0
1,14,dram,507,21,133,0,25990,0
1,15,dram,507,27,333,21,66466,0
1,16,dram,507,25,225,0,29761,0
1,17,dram,507,25,152,0,32237,0
1,18,dram,507,24,216,0,30155,0
1,19,dram,507,22,122,0,27104,0
1,20,dram,507,27,311,0,34610,0
1,21,dram,507,26,200,0,29793,0
1,22,dram,507,15,37,0,17779,0
1,23,dram,507,23,141,0,30521,0
1,24,dram,507,21,159,0,26323,0
1,25,dram,507,25,210,0,31831,0
1,26,dram,507,27,215,0,31298,0
1,27,dram,507,24,174,0,28700,0
1,28,dram,507,25,256,0,32684,0
1,29,dram,507,21,133,0,24122,0
1,30,dram,507,19,63,0,21606,0
1,31,dram,507,27,273,0,34481,0
1,32,dram,507,22,93,0,25736,0
1,33,dram,507,19,93,0,21536,0
1,34,dram,507,27,290,1,35244,0
1,35,dram,507,16,40,0,19549,0
1,36,dram,507,24,229,0,28602,0
1,37,dram,507,23,169,0,30044,0
1,38,dram,507,21,123,0,27279,0
1,39,dram,507,21,105,0,27393,0
1,40,dram,507,18,48,0,21123,0
1,41,dram,507,24,196,0,29459,0
1,42,dram,507,21,126,0,26349,0
1,43,dram,507,28,252,0,36906,0
1,44,dram,507,28,368,5,41619,0
1,45,dram,507,21,131,0,24840,0
1,46,dram,507,20,96,0,24951,0
1,47,dram,507,21,120,0,24475,0
1,48,dram,507,25,157,0,31613,0
1,49,dram,507,23,148,0,28561,0
1,50,dram,507,26,275,0,31433,0
1,51,dram,507,22,122,0,27622,0
1,52,dram,507,26,256,0,33880,0
1,53,dram,507,24,167,0,31148,0
1,54,dram,507,25,283,0,31806,0
1,55,dram,507,26,269,0,33085,0
1,56,dram,507,23,142,0,28415,0
1,57,dram,507,24,241,0,27446,0
1,58,dram,507,28,369,20,67347,0
1,59,dram,507,24,141,0,31444,0
1,60,dram,507,21,135,0,26214,0
1,61,dram,507,27,306,0,35714,0
1,62,dram,507,24,196,0,29454,0
1,63,dram,507,19,67,0,24522,0
1,64,dram,507,23,129,0,25728,0
1,65,dram,507,26,277,0,31987,0
