m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
1,0,dram,507,25,308,70,139561,0
1,1,dram,507,15,23,0,16234,0
1,2,dram,507,22,181,0,26843,0
1,3,dram,507,25,239,0,31425,0
1,4,dram,507,24,240,0,29333,0
1,5,dram,507,23,155,0,26546,0
1,6,dram,507,9,14,0,10225,0
1,7,dram,507,23,180,0,29185,0
1,8,dram,507,26,261,8,44383,0
1,9,dram,507,24,148,0,29520,0
1,10,dram,507,20,93,0,24774,0
1,11,dram,507,23,175,0,27188,0
1,12,dram,507,18,42,0,21381,0
1,13,dram,507,24,218,0,31062,0
1,14,dram,507,21,133,0,26133,0
1,15,dram,507,27,333,21,66727,0
1,16,dram,507,25,225,0,29937,0
1,17,dram,507,25,152,0,32435,0
1,18,dram,507,24,216,0,30331,0
1,19,dram,507,22,122,0,27258,0
1,20,dram,507,27,311,0,34797,0
1,21,dram,507,26,200,0,29958,0
1,22,dram,507,15,37,0,17889,0
1,23,dram,507,23,141,0,30719,0
1,24,dram,507,21,159,0,26510,0
1,25,dram,507,25,210,0,32040,0
1,26,dram,507,27,215,0,31485,0
1,27,dram,507,24,174,0,28887,0
1,28,dram,507,25,256,0,32893,0
1,29,dram,507,21,133,0,24265,0
1,30,dram,507,19,63,0,21716,0
1,31,dram,507,27,273,0,34723,0
1,32,dram,507,22,93,0,25868,0
1,33,dram,507,19,93,0,21668,0
1,34,dram,507,27,290,1,35478,0
1,35,dram,507,16,40,0,19626,0
1,36,dram,507,24,229,0,28756,0
1,37,dram,507,23,169,0,30242,0
1,38,dram,507,21,123,0,27455,0
1,39,dram,507,21,105,0,27547,0
1,40,dram,507,18,48,0,21244,0
1,41,dram,507,24,196,0,29657,0
1,42,dram,507,21,126,0,26492,0
1,43,dram,507,28,252,0,37137,0
1,44,dram,507,28,368,5,41854,0
1,45,dram,507,21,131,0,24983,0
1,46,dram,507,20,96,0,25094,0
1,47,dram,507,21,120,0,24618,0
1,48,dram,507,25,157,0,31767,0
1,49,dram,507,23,148,0,28704,0
1,50,dram,507,26,275,0,31620,0
1,51,dram,507,22,122,0,27820,0
1,52,dram,507,26,256,0,34100,0
1,53,dram,507,24,167,0,31346,0
1,54,dram,507,25,283,0,32015,0
1,55,dram,507,26,269,0,33316,0
1,56,dram,507,23,142,0,28580,0
1,57,dram,507,24,241,0,27611,0
1,58,dram,507,28,369,20,67649,0
1,59,dram,507,24,141,0,31620,0
1,60,dram,507,21,135,0,26390,0
1,61,dram,507,27,306,0,35945,0
1,62,dram,507,24,196,0,29641,0
1,63,dram,507,19,67,0,24676,0
1,64,dram,507,23,129,0,25893,0
1,65,dram,507,26,277,0,32163,0
1,66,dram,507,15,45,0,16712,0
1,67,dram,507,22,105,0,28040,0
1,68,dram,507,26,239,0,32058,0
1,69,dram,507,23,160,0,27888,0
1,70,dram,507,26,243,0,30811,0
1,71,dram,507,25,235,0,31513,0
1,72,dram,507,12,15,0,13756,0
1,73,dram,507,19,49,0,24012,0
1,74,dram,507,23,212,0,27434,0
1,75,dram,507,15,42,0,17922,0
1,76,dram,507,17,64,0,21346,0
1,77,dram,507,22,113,0,26814,0
1,78,dram,507,31,430,0,39061,0
1,79,dram,507,24,138,0,31881,0
1,80,dram,507,27,381,0,33546,0
1,81,dram,507,28,300,0,32487,0
1,82,dram,507,27,336,0,33097,0
1,83,dram,507,20,110,0,26341,0
1,84,dram,507,26,277,0,33148,0
1,85,dram,507,22,145,0,27992,0
1,86,dram,507,24,200,0,31894,0
1,87,dram,507,23,191,0,29029,0
1,88,dram,507,24,199,0,28836,0
1,89,dram,507,16,41,0,19152,0
1,90,dram,507,24,174,0,30496,0
1,91,dram,507,17,53,0,20752,0
1,92,dram,507,20,86,0,24477,0
1,93,dram,507,23,192,0,26780,0
1,94,dram,507,18,62,0,21605,0
1,95,dram,507,20,75,0,24271,0
1,96,dram,507,24,183,0,28030,0
1,97,dram,507,21,102,0,25789,0
1,98,dram,507,20,102,0,24677,0
1,99,dram,507,27,263,0,33661,0
4,0,dram,8685,21,119,38,85699,0
4,1,dram,8685,23,132,0,27047,0
4,2,dram,2852,19,89,0,22471,0
4,3,dram,2852,20,101,0,25255,0
4,4,dram,4724,16,47,0,19148,0
4,5,dram,2852,20,72,0,22785,0
4,6,dram,507,9,14,0,10249,0
4,7,dram,507,21,112,0,26965,0
4,8,dram,2852,15,40,0,17840,0
4,9,dram,2852,23,94,0,28426,0
4,10,dram,2852,19,65,0,23260,0
4,11,dram,4724,15,41,0,17506,0
4,12,dram,507,18,42,0,21381,0
4,13,dram,2852,22,128,2,31072,0
4,14,dram,4724,17,59,0,20636,0
4,15,dram,8685,21,85,0,25813,0
4,16,dram,2852,21,116,0,24977,0
4,17,dram,507,24,121,0,30351,0
4,18,dram,8685,22,116,0,27615,0
4,19,dram,507,21,82,0,25625,0
4,20,dram,507,22,112,0,27998,0
4,21,dram,2852,9,4,0,8717,0
4,22,dram,507,15,37,0,17944,0
4,23,dram,8685,12,21,0,16594,0
4,24,dram,8685,9,14,0,9977,0
4,25,dram,4724,19,77,0,23886,0
4,26,dram,2852,21,83,0,23503,0
4,27,dram,507,19,77,0,22681,0
4,28,dram,2852,23,142,0,30059,0
4,29,dram,2852,18,62,0,20714,0
4,30,dram,2852,20,80,0,23149,0
4,31,dram,4724,10,14,0,13383,0
4,32,dram,4724,21,70,0,24846,0
4,33,dram,8685,20,98,0,23136,0
4,34,dram,8685,11,17,0,13732,0
4,35,dram,8685,18,73,0,22784,0
4,36,dram,4724,17,47,0,20784,0
4,37,dram,507,20,85,0,25938,0
4,38,dram,8685,16,54,0,20733,0
4,39,dram,4724,18,71,0,23334,0
4,40,dram,507,18,48,0,21218,0
4,41,dram,2852,12,14,0,14846,0
4,42,dram,2852,15,34,0,18623,0
4,43,dram,4724,19,98,0,25174,0
4,44,dram,2852,21,123,0,25230,0
4,45,dram,2852,20,102,0,23859,0
4,46,dram,507,18,68,0,22370,0
4,47,dram,8685,19,76,0,22076,0
4,48,dram,2852,22,95,0,27701,0
4,49,dram,507,16,44,0,19284,0
4,50,dram,8685,12,9,0,12682,0
4,51,dram,4724,21,111,0,26165,0
4,52,dram,2852,18,73,0,23721,0
4,53,dram,4724,20,77,0,26204,0
4,54,dram,2852,24,217,21,63312,0
4,55,dram,507,23,124,0,29467,0
4,56,dram,8685,19,59,0,23452,0
4,57,dram,4724,22,166,0,24354,0
4,58,dram,507,21,97,0,27915,0
4,59,dram,2852,20,86,0,26108,0
4,60,dram,507,18,84,0,22437,0
4,61,dram,507,22,123,0,28953,0
4,62,dram,2852,23,153,0,29025,0
4,63,dram,2852,18,54,0,23343,0
4,64,dram,507,19,64,0,21228,0
4,65,dram,8685,23,131,0,27902,0
4,66,dram,4724,25,172,0,30159,0
4,67,dram,8685,16,30,0,19514,0
4,68,dram,2852,21,81,0,25384,0
4,69,dram,8685,22,106,0,26995,0
4,70,dram,2852,23,119,0,27080,0
4,71,dram,2852,22,124,0,28579,0
4,72,dram,507,12,15,0,13756,0
4,73,dram,2852,20,66,0,25356,0
4,74,dram,507,21,145,0,24646,0
4,75,dram,2852,9,9,0,10896,0
4,76,dram,2852,16,47,0,20292,0
4,77,dram,507,18,67,0,21380,0
4,78,dram,4724,25,177,0,31619,0
4,79,dram,2852,22,90,0,29377,0
4,80,dram,8685,24,175,0,29961,0
4,81,dram,8685,9,12,0,10315,0
4,82,dram,8685,12,18,0,13506,0
4,83,dram,8685,14,23,0,18095,0
4,84,dram,4724,21,132,0,26481,0
4,85,dram,4724,20,91,0,25083,0
4,86,dram,8685,21,91,0,27684,0
4,87,dram,4724,19,89,0,23721,0
4,88,dram,8685,16,48,0,18453,0
4,89,dram,507,16,41,0,19166,0
4,90,dram,8685,18,54,0,22753,0
4,91,dram,507,17,53,0,20708,0
4,92,dram,2852,11,13,0,12780,0
4,93,dram,8685,20,96,0,23598,0
4,94,dram,4724,19,71,0,23303,0
4,95,dram,8685,17,47,0,20260,0
4,96,dram,8685,19,74,0,21483,0
4,97,dram,2852,22,124,0,27211,0
4,98,dram,8685,20,102,0,24897,0
4,99,dram,8685,16,42,0,19753,0
16,0,dram,4512,11,15,3,18594,0
16,1,dram,507,15,23,6,25564,0
16,2,dram,10593,17,56,7,30651,0
16,3,dram,5281,18,56,2,25158,0
16,4,dram,4512,14,27,0,16539,0
16,5,dram,10839,15,18,0,16046,0
16,6,dram,3947,17,68,0,20549,0
16,7,dram,5281,12,25,0,14892,0
16,8,dram,2852,14,32,0,16703,0
16,9,dram,3947,12,20,0,13855,0
16,10,dram,14405,15,35,0,17947,0
16,11,dram,1721,17,57,0,19632,0
16,12,dram,5281,16,28,0,19042,0
16,13,dram,10593,16,43,0,19528,0
16,14,dram,4724,19,71,0,23549,0
16,15,dram,14405,21,85,16,50810,0
16,16,dram,10931,13,30,0,14450,0
16,17,dram,5281,11,13,0,13363,0
16,18,dram,5281,14,27,0,16381,0
16,19,dram,10931,21,82,0,25979,0
16,20,dram,10931,17,58,0,21364,0
16,21,dram,7786,19,67,0,21860,0
16,22,dram,491,15,37,0,17911,0
16,23,dram,8685,12,21,0,16630,0
16,24,dram,7786,16,47,0,20053,0
16,25,dram,491,9,6,0,10287,0
16,26,dram,4512,15,29,0,15917,0
16,27,dram,3947,14,32,0,15892,0
16,28,dram,5281,11,17,0,14027,0
16,29,dram,7786,14,30,0,15832,0
16,30,dram,3947,15,26,0,16813,0
16,31,dram,2852,14,35,0,18450,0
16,32,dram,5281,21,70,0,25157,0
16,33,dram,491,13,23,0,14299,0
16,34,dram,8685,11,17,0,13735,0
16,35,dram,10593,15,30,0,18418,0
16,36,dram,10931,7,5,0,8134,0
16,37,dram,491,2,1,0,2342,0
