m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
1,0,dram,507,25,308,70,218880,0
1,1,dram,507,15,23,0,18884,0
1,2,dram,507,22,181,0,34263,0
1,3,dram,507,25,239,0,40435,0
1,4,dram,507,24,240,0,38343,0
1,5,dram,507,23,155,0,33966,0
1,6,dram,507,9,14,0,12345,0
1,7,dram,507,23,180,0,38195,0
1,8,dram,507,26,261,8,62217,0
1,9,dram,507,24,148,0,36410,0
1,10,dram,507,20,93,0,31134,0
1,11,dram,507,23,175,0,35138,0
1,12,dram,507,18,42,0,27211,0
1,13,dram,507,24,218,0,39012,0
1,14,dram,507,21,133,0,33023,0
1,15,dram,507,27,333,21,97717,0
1,16,dram,507,25,225,0,38417,0
1,17,dram,507,25,152,0,41975,0
1,18,dram,507,24,216,0,38811,0
1,19,dram,507,22,122,0,34678,0
1,20,dram,507,27,311,0,43807,0
1,21,dram,507,26,200,0,37908,0
1,22,dram,507,15,37,0,23189,0
1,23,dram,507,23,141,0,40259,0
1,24,dram,507,21,159,0,35520,0
1,25,dram,507,25,210,0,42110,0
1,26,dram,507,27,215,0,40495,0
1,27,dram,507,24,174,0,37897,0
1,28,dram,507,25,256,0,42963,0
1,29,dram,507,21,133,0,31155,0
1,30,dram,507,19,63,0,27016,0
1,31,dram,507,27,273,0,46383,0
1,32,dram,507,22,93,0,32228,0
1,33,dram,507,19,93,0,28028,0
1,34,dram,507,27,290,1,47640,0
1,35,dram,507,16,40,0,23336,0
1,36,dram,507,24,229,0,36176,0
1,37,dram,507,23,169,0,39782,0
1,38,dram,507,21,123,0,35935,0
1,39,dram,507,21,105,0,34967,0
1,40,dram,507,18,48,0,27074,0
1,41,dram,507,24,196,0,39197,0
1,42,dram,507,21,126,0,33382,0
1,43,dram,507,28,252,0,48267,0
1,44,dram,507,28,368,5,57628,0
1,45,dram,507,21,131,0,31873,0
1,46,dram,507,20,96,0,31984,0
1,47,dram,507,21,120,0,31508,0
1,48,dram,507,25,157,0,39187,0
1,49,dram,507,23,148,0,35594,0
1,50,dram,507,26,275,0,40630,0
1,51,dram,507,22,122,0,37360,0
1,52,dram,507,26,256,0,44700,0
1,53,dram,507,24,167,0,40886,0
1,54,dram,507,25,283,0,42085,0
1,55,dram,507,26,269,0,44446,0
1,56,dram,507,23,142,0,36530,0
1,57,dram,507,24,241,0,35561,0
1,58,dram,507,28,369,20,99844,0
1,59,dram,507,24,141,0,40100,0
1,60,dram,507,21,135,0,34870,0
1,61,dram,507,27,306,0,47075,0
1,62,dram,507,24,196,0,38651,0
1,63,dram,507,19,67,0,32096,0
1,64,dram,507,23,129,0,33843,0
1,65,dram,507,26,277,0,40643,0
1,66,dram,507,15,45,0,20422,0
1,67,dram,507,22,105,0,35460,0
1,68,dram,507,26,239,0,40538,0
1,69,dram,507,23,160,0,36368,0
1,70,dram,507,26,243,0,40351,0
1,71,dram,507,25,235,0,40523,0
1,72,dram,507,12,15,0,16936,0
1,73,dram,507,19,49,0,29842,0
1,74,dram,507,23,212,0,35384,0
1,75,dram,507,15,42,0,22162,0
1,76,dram,507,17,64,0,27706,0
1,77,dram,507,22,113,0,35294,0
1,78,dram,507,31,430,0,52311,0
1,79,dram,507,24,138,0,41421,0
1,80,dram,507,27,381,0,44146,0
1,81,dram,507,28,300,0,42027,0
1,82,dram,507,27,336,0,43167,0
1,83,dram,507,20,110,0,33231,0
1,84,dram,507,26,277,0,43748,0
1,85,dram,507,22,145,0,35942,0
1,86,dram,507,24,200,0,40904,0
1,87,dram,507,23,191,0,37509,0
1,88,dram,507,24,199,0,37316,0
1,89,dram,507,16,41,0,23392,0
1,90,dram,507,24,174,0,37916,0
1,91,dram,507,17,53,0,25522,0
1,92,dram,507,20,86,0,31367,0
1,93,dram,507,23,192,0,33670,0
1,94,dram,507,18,62,0,27435,0
1,95,dram,507,20,75,0,30631,0
1,96,dram,507,24,183,0,35980,0
1,97,dram,507,21,102,0,32679,0
1,98,dram,507,20,102,0,32097,0
1,99,dram,507,27,263,0,43731,0
4,0,dram,8685,21,119,38,131567,0
4,1,dram,8685,23,132,0,33937,0
4,2,dram,2852,19,89,0,28301,0
4,3,dram,2852,20,101,0,32145,0
4,4,dram,4724,16,47,0,23918,0
4,5,dram,2852,20,72,0,28615,0
4,6,dram,507,9,14,0,12369,0
4,7,dram,507,21,112,0,34915,0
4,8,dram,2852,15,40,0,22080,0
4,9,dram,2852,23,94,0,34786,0
4,10,dram,2852,19,65,0,29090,0
4,11,dram,4724,15,41,0,21746,0
4,12,dram,507,18,42,0,27211,0
4,13,dram,2852,22,128,2,40007,0
4,14,dram,4724,17,59,0,25406,0
4,15,dram,8685,21,85,0,32173,0
4,16,dram,2852,21,116,0,31337,0
4,17,dram,507,24,121,0,39361,0
4,18,dram,8685,22,116,0,35035,0
4,19,dram,507,21,82,0,32515,0
4,20,dram,507,22,112,0,34888,0
4,21,dram,2852,9,4,0,9247,0
4,22,dram,507,15,37,0,23244,0
4,23,dram,8685,12,21,0,20304,0
4,24,dram,8685,9,14,0,12627,0
4,25,dram,4724,19,77,0,30776,0
4,26,dram,2852,21,83,0,29863,0
4,27,dram,507,19,77,0,29041,0
4,28,dram,2852,23,142,0,39069,0
4,29,dram,2852,18,62,0,26014,0
4,30,dram,2852,20,80,0,28979,0
4,31,dram,4724,10,14,0,16563,0
4,32,dram,4724,21,70,0,31206,0
4,33,dram,8685,20,98,0,30026,0
4,34,dram,8685,11,17,0,17442,0
4,35,dram,8685,18,73,0,27554,0
4,36,dram,4724,17,47,0,25554,0
4,37,dram,507,20,85,0,33888,0
4,38,dram,8685,16,54,0,26563,0
4,39,dram,4724,18,71,0,29164,0
4,40,dram,507,18,48,0,27048,0
4,41,dram,2852,12,14,0,18026,0
4,42,dram,2852,15,34,0,22863,0
4,43,dram,4724,19,98,0,32594,0
4,44,dram,2852,21,123,0,32650,0
4,45,dram,2852,20,102,0,30219,0
4,46,dram,507,18,68,0,28200,0
4,47,dram,8685,19,76,0,27906,0
4,48,dram,2852,22,95,0,33531,0
4,49,dram,507,16,44,0,22994,0
4,50,dram,8685,12,9,0,14802,0
4,51,dram,4724,21,111,0,35175,0
4,52,dram,2852,18,73,0,30081,0
4,53,dram,4724,20,77,0,33624,0
4,54,dram,2852,24,217,21,94341,0
4,55,dram,507,23,124,0,39007,0
4,56,dram,8685,19,59,0,29282,0
4,57,dram,4724,22,166,0,31244,0
4,58,dram,507,21,97,0,36395,0
4,59,dram,2852,20,86,0,32998,0
4,60,dram,507,18,84,0,29327,0
4,61,dram,507,22,123,0,37433,0
4,62,dram,2852,23,153,0,37505,0
4,63,dram,2852,18,54,0,30233,0
4,64,dram,507,19,64,0,27058,0
4,65,dram,8685,23,131,0,34792,0
4,66,dram,4724,25,172,0,38639,0
4,67,dram,8685,16,30,0,24284,0
4,68,dram,2852,21,81,0,31214,0
4,69,dram,8685,22,106,0,34945,0
4,70,dram,2852,23,119,0,35030,0
4,71,dram,2852,22,124,0,36529,0
4,72,dram,507,12,15,0,16936,0
4,73,dram,2852,20,66,0,31716,0
4,74,dram,507,21,145,0,31536,0
4,75,dram,2852,9,9,0,12486,0
4,76,dram,2852,16,47,0,26122,0
4,77,dram,507,18,67,0,27740,0
4,78,dram,4724,25,177,0,41689,0
4,79,dram,2852,22,90,0,37857,0
4,80,dram,8685,24,175,0,38971,0
4,81,dram,8685,9,12,0,12435,0
4,82,dram,8685,12,18,0,15626,0
4,83,dram,8685,14,23,0,21805,0
4,84,dram,4724,21,132,0,34431,0
4,85,dram,4724,20,91,0,31973,0
4,86,dram,8685,21,91,0,35104,0
4,87,dram,4724,19,89,0,30081,0
4,88,dram,8685,16,48,0,23223,0
4,89,dram,507,16,41,0,23406,0
