target_count,seed_j,seed_meas,data_file,success,termination_reason,result_index,trial_count,L_BBHT,actual_grover_iterations,cycle_count
1,1,2779077211,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,2,2779077208,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,3,2779077209,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,4,2779077214,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,5,2779077215,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,6,2779077212,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,7,2779077213,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,8,2779077202,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,9,2779077203,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,10,2779077200,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,11,2779077201,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,12,2779077206,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,13,2779077207,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,14,2779077204,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,15,2779077205,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,16,2779077194,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,17,2779077195,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,18,2779077192,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,19,2779077193,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,20,2779077198,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,21,2779077199,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,22,2779077196,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,23,2779077197,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,24,2779077186,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,25,2779077187,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,26,2779077184,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,27,2779077185,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,28,2779077190,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,29,2779077191,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,30,2779077188,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,31,2779077189,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,32,2779077242,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,33,2779077243,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,34,2779077240,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,35,2779077241,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,36,2779077246,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,37,2779077247,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,38,2779077244,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,39,2779077245,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,40,2779077234,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,41,2779077235,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,42,2779077232,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,43,2779077233,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,44,2779077238,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,45,2779077239,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,46,2779077236,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,47,2779077237,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,48,2779077226,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,49,2779077227,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
1,50,2779077224,fpga_inputs/q14_m1/data_signed16.hex,,,,,,,
4,1,2779077211,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,2,2779077208,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,3,2779077209,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,4,2779077214,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,5,2779077215,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,6,2779077212,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,7,2779077213,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,8,2779077202,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,9,2779077203,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,10,2779077200,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,11,2779077201,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,12,2779077206,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,13,2779077207,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,14,2779077204,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,15,2779077205,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,16,2779077194,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,17,2779077195,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,18,2779077192,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,19,2779077193,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,20,2779077198,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,21,2779077199,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,22,2779077196,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,23,2779077197,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,24,2779077186,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,25,2779077187,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,26,2779077184,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,27,2779077185,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,28,2779077190,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,29,2779077191,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,30,2779077188,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,31,2779077189,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,32,2779077242,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,33,2779077243,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,34,2779077240,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,35,2779077241,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,36,2779077246,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,37,2779077247,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,38,2779077244,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,39,2779077245,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,40,2779077234,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,41,2779077235,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,42,2779077232,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,43,2779077233,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,44,2779077238,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,45,2779077239,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,46,2779077236,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,47,2779077237,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,48,2779077226,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,49,2779077227,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
4,50,2779077224,fpga_inputs/q14_m4/data_signed16.hex,,,,,,,
16,1,2779077211,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,2,2779077208,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,3,2779077209,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,4,2779077214,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,5,2779077215,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,6,2779077212,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,7,2779077213,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,8,2779077202,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,9,2779077203,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,10,2779077200,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,11,2779077201,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,12,2779077206,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,13,2779077207,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,14,2779077204,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,15,2779077205,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,16,2779077194,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,17,2779077195,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,18,2779077192,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,19,2779077193,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
16,20,2779077198,fpga_inputs/q14_m16/data_signed16.hex,,,,,,,
