target_count,backend,seed_count,final_success_rate,median_trial_count,p95_trial_count,median_L_BBHT,p95_L_BBHT,median_execution_seconds,p95_execution_seconds
1,NUMPY_FLOAT64,50,1.0,23.0,26.0,167.5,275.55,0.013810729084070772,0.022718836279818785
1,QISKIT_AER_STATEVECTOR,50,1.0,23.0,26.0,167.5,275.55,2.212130101514049,3.812261992733692
4,NUMPY_FLOAT64,50,1.0,20.0,22.549999999999997,87.5,147.75,0.008258746063802391,0.015105391445104031
4,QISKIT_AER_STATEVECTOR,50,1.0,20.0,22.549999999999997,87.5,147.75,1.1957151011447422,2.0226254400215113
16,NUMPY_FLOAT64,50,1.0,14.5,18.549999999999997,32.5,63.0,0.003369243408087641,0.00788810119847767
16,QISKIT_AER_STATEVECTOR,50,1.0,14.5,18.549999999999997,32.5,63.0,0.46644569089403376,0.9822310289251618
64,NUMPY_FLOAT64,50,1.0,10.5,16.0,12.0,38.099999999999994,0.0017563365981914103,0.004503982042660933
64,QISKIT_AER_STATEVECTOR,50,1.0,10.5,16.0,12.0,38.099999999999994,0.1947235488332808,0.5426163089519832
256,NUMPY_FLOAT64,50,1.0,7.0,12.0,5.5,15.749999999999986,0.0009104294585995376,0.002133823523763567
256,QISKIT_AER_STATEVECTOR,50,1.0,7.0,12.0,5.5,15.749999999999986,0.07429485092870891,0.2282697572140022
