scenario_id,qubits,N,data_count,target_count,requested_j,predicate_mode,target_mask_sha256,shared_input_prepare_seconds,backend,sample_count,median_seconds,p95_seconds,min_seconds,max_seconds,build_seconds,transpile_seconds,transpiled_depth,cold_start_total_seconds
q8_m1_j12,8,256,256,1,12,EQ,d577b6dfa736657f93c3223b466c256c988d5eb5f02cc27ad47f92c1406f7dd2,1.689803320914507e-05,NUMPY_FLOAT64,10,0.00045794103061780334,0.000669294031104073,0.00034557702019810677,0.0006747259758412838,,,,
q8_m1_j12,8,256,256,1,12,EQ,d577b6dfa736657f93c3223b466c256c988d5eb5f02cc27ad47f92c1406f7dd2,1.689803320914507e-05,QISKIT_AER_STATEVECTOR,10,0.005515014985576272,0.008818070671986788,0.00444617704488337,0.008848141063936055,0.0037782229483127594,0.11127313098404557,49,0.1205663689179346
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,10,0.000177207519300282,0.00024201823980547475,0.00017229910008609295,0.00029059802182018757,,,,
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,QISKIT_AER_STATEVECTOR,10,0.0036321079824119806,0.004925408156123012,0.0027164960047230124,0.00497812288813293,0.0019861659966409206,0.07364802702795714,25,0.07926630100701004
q8_m16_j3,8,256,256,16,3,EQ,5612911632a875a572c7dd19a148e1cde73854812fa69e10f93cf24bd9dee479,5.7319412007927895e-06,NUMPY_FLOAT64,10,0.00019523105584084988,0.0002033646567724645,9.88229876384139e-05,0.00020479701925069094,,,,
q8_m16_j3,8,256,256,16,3,EQ,5612911632a875a572c7dd19a148e1cde73854812fa69e10f93cf24bd9dee479,5.7319412007927895e-06,QISKIT_AER_STATEVECTOR,10,0.0016361215384677052,0.0020851340261287985,0.0015116529539227486,0.002128635998815298,0.0013232870260253549,0.07156135200057179,13,0.07452076056506485
q8_m64_j1,8,256,256,64,1,EQ,b8a63a62f6097f15c8e3345e42bc482129e8df77fbc8e7393435006f9352f641,4.966044798493385e-06,NUMPY_FLOAT64,10,4.951702430844307e-05,9.800139814615245e-05,4.7595007345080376e-05,0.00011975306551903486,,,,
q8_m64_j1,8,256,256,64,1,EQ,b8a63a62f6097f15c8e3345e42bc482129e8df77fbc8e7393435006f9352f641,4.966044798493385e-06,QISKIT_AER_STATEVECTOR,10,0.0007719910354353487,0.0007792990771122276,0.0007399549940600991,0.0007796910358592868,0.0006845749448984861,0.06623153400141746,5,0.06768809998175129
q8_m256_j0,8,256,256,256,0,EQ,2661920f2409dd6c8adeb0c44972959f232b6429afa913845d0fd95e7e768234,4.698988050222397e-06,NUMPY_FLOAT64,10,2.1064479369670153e-05,2.5512604042887685e-05,1.9814004190266132e-05,2.6913010515272617e-05,,,,
q8_m256_j0,8,256,256,256,0,EQ,2661920f2409dd6c8adeb0c44972959f232b6429afa913845d0fd95e7e768234,4.698988050222397e-06,QISKIT_AER_STATEVECTOR,10,0.00039749505231156945,0.0005021062272135168,0.0003881680313497782,0.0005191949894651771,0.0004175460198894143,0.08744460204616189,1,0.08825964311836287
q10_m1_j25,10,1024,1024,1,25,EQ,91fd9dbe4d5a5fd8a32c47425d44e07358443d88ddc196ecd52b491fd32382b9,5.814945325255394e-06,NUMPY_FLOAT64,10,0.0007832605042494833,0.0009348410007078198,0.0007802329491823912,0.001048011938109994,,,,
q10_m1_j25,10,1024,1024,1,25,EQ,91fd9dbe4d5a5fd8a32c47425d44e07358443d88ddc196ecd52b491fd32382b9,5.814945325255394e-06,QISKIT_AER_STATEVECTOR,10,0.036147286009509116,0.03949364759027958,0.020305305952206254,0.03951951896306127,0.019635000033304095,0.07946234697010368,101,0.1352446330129169
q10_m4_j12,10,1024,1024,4,12,EQ,4c20682ae214faba016a81eb6afc295199358426f32ac7e6d534b17e9e2c0384,1.0004965588450432e-05,NUMPY_FLOAT64,10,0.0007347154896706343,0.0007515283650718629,0.0007199400570243597,0.0007525850087404251,,,,
q10_m4_j12,10,1024,1024,4,12,EQ,4c20682ae214faba016a81eb6afc295199358426f32ac7e6d534b17e9e2c0384,1.0004965588450432e-05,QISKIT_AER_STATEVECTOR,10,0.01341290056006983,0.01681964343297295,0.009892507921904325,0.018029994913376868,0.017648358014412224,0.07162249507382512,49,0.10268375364830717
q10_m16_j6,10,1024,1024,16,6,EQ,7751ebb6459f30381c538982485f2bb82559c28fac40db963ac55efeaa4e0a42,9.36200376600027e-06,NUMPY_FLOAT64,10,0.00039938947884365916,0.0004123004095163196,0.0003362019779160619,0.00041566998697817326,,,,
q10_m16_j6,10,1024,1024,16,6,EQ,7751ebb6459f30381c538982485f2bb82559c28fac40db963ac55efeaa4e0a42,9.36200376600027e-06,QISKIT_AER_STATEVECTOR,10,0.006782293494325131,0.010044609964825212,0.005252360017038882,0.010069989948533475,0.009765541995875537,0.09278282802551985,25,0.10933066351572052
q10_m64_j3,10,1024,1024,64,3,EQ,38e97df0f61a94a065658d880453275de895d6dd67d63dd5088a2b5482f07998,9.796000085771084e-06,NUMPY_FLOAT64,10,0.00016842351760715246,0.00021087585482746358,0.00014401297084987164,0.00022791605442762375,,,,
q10_m64_j3,10,1024,1024,64,3,EQ,38e97df0f61a94a065658d880453275de895d6dd67d63dd5088a2b5482f07998,9.796000085771084e-06,QISKIT_AER_STATEVECTOR,10,0.004858000029344112,0.005164088413584978,0.002784605952911079,0.005174226011149585,0.0030959430150687695,0.06847869092598557,13,0.07643263397039846
q10_m256_j1,10,1024,1024,256,1,EQ,707c273223d3cd54d5745f1645be1cb857dfa801a853fbebd84069e057fc5bcf,9.214971214532852e-06,NUMPY_FLOAT64,10,8.508196333423257e-05,0.0001082899572793394,5.393405444920063e-05,0.00012316694483160973,,,,
