target_count,seed_index,seed_j,seed_meas,normal_success,normal_trial,normal_L,normal_phys,normal_index,normal_logical,ckpt_success,ckpt_trial,ckpt_L,ckpt_phys,ckpt_index,ckpt_logical
1,0,2065550767,607587826,1,25,308,308,507,25/308/507,1,25,308,87,507,25/308/507
1,1,981837020,2746853941,1,15,23,23,507,15/23/507,1,15,23,9,507,15/23/507
1,2,1633855666,2266769263,1,22,181,181,507,22/181/507,1,22,181,61,507,22/181/507
1,3,3282944846,4122538539,1,25,239,239,507,25/239/507,1,25,239,68,507,25/239/507
1,4,732984319,1065588451,1,24,240,240,507,24/240/507,1,24,240,78,507,24/240/507
1,5,3663223475,2803464919,1,23,155,155,507,23/155/507,1,23,155,59,507,23/155/507
1,6,248580544,1459736146,1,9,14,14,507,9/14/507,1,9,14,4,507,9/14/507
1,7,271503219,1405575467,1,23,180,180,507,23/180/507,1,23,180,71,507,23/180/507
1,8,3475617441,891492996,1,26,261,261,507,26/261/507,1,26,261,103,507,26/261/507
1,9,3298605890,3500391352,1,24,148,148,507,24/148/507,1,24,148,74,507,24/148/507
1,10,1287986467,3993909940,1,20,93,93,507,20/93/507,1,20,93,41,507,20/93/507
1,11,4192774778,839435034,1,23,175,175,507,23/175/507,1,23,175,75,507,23/175/507
1,12,3718819921,3356515485,1,18,42,42,507,18/42/507,1,18,42,20,507,18/42/507
1,13,2885358015,4125017950,1,24,218,218,507,24/218/507,1,24,218,93,507,24/218/507
1,14,543397905,1802140743,1,21,133,133,507,21/133/507,1,21,133,46,507,21/133/507
1,15,2893196498,3397696620,1,27,333,333,507,27/333/507,1,27,333,169,507,27/333/507
1,16,1235409529,3778504485,1,25,225,225,507,25/225/507,1,25,225,60,507,25/225/507
1,17,1671752151,1634130852,1,25,152,152,507,25/152/507,1,25,152,53,507,25/152/507
1,18,2307125506,1140547971,1,24,216,216,507,24/216/507,1,24,216,94,507,24/216/507
1,19,3060902520,3380271266,1,22,122,122,507,22/122/507,1,22,122,52,507,22/122/507
1,20,3672856170,2560514877,1,27,311,311,507,27/311/507,1,27,311,122,507,27/311/507
1,21,4128775168,2739252299,1,26,200,200,507,26/200/507,1,26,200,88,507,26/200/507
1,22,1310251090,2693365983,1,15,37,37,507,15/37/507,1,15,37,11,507,15/37/507
1,23,2687880890,1629349060,1,23,141,141,507,23/141/507,1,23,141,53,507,23/141/507
1,24,3259068132,1931736185,1,21,159,159,507,21/159/507,1,21,159,47,507,21/159/507
1,25,4225432541,2696990511,1,25,210,210,507,25/210/507,1,25,210,104,507,25/210/507
1,26,2755641159,2380888848,1,27,215,215,507,27/215/507,1,27,215,75,507,27/215/507
1,27,1746008001,3406234698,1,24,174,174,507,24/174/507,1,24,174,61,507,24/174/507
1,28,1628298796,2364923577,1,25,256,256,507,25/256/507,1,25,256,116,507,25/256/507
1,29,2183404423,3152183097,1,21,133,133,507,21/133/507,1,21,133,46,507,21/133/507
1,30,1214542992,3935654379,1,19,63,63,507,19/63/507,1,19,63,31,507,19/63/507
1,31,1675574143,2830129121,1,27,273,273,507,27/273/507,1,27,273,108,507,27/273/507
1,32,1127294395,841088752,1,22,93,93,507,22/93/507,1,22,93,32,507,22/93/507
1,33,2034482752,1715596921,1,19,93,93,507,19/93/507,1,19,93,37,507,19/93/507
1,34,650719826,1734158600,1,27,290,290,507,27/290/507,1,27,290,129,507,27/290/507
1,35,3689147721,2815421014,1,16,40,40,507,16/40/507,1,16,40,22,507,16/40/507
1,36,3270286260,3217075870,1,24,229,229,507,24/229/507,1,24,229,69,507,24/229/507
1,37,3891037529,812672172,1,23,169,169,507,23/169/507,1,23,169,71,507,23/169/507
1,38,3434646356,753926488,1,21,123,123,507,21/123/507,1,21,123,40,507,21/123/507
1,39,3037914788,731803788,1,21,105,105,507,21/105/507,1,21,105,34,507,21/105/507
1,40,2116828546,2795483541,1,18,48,48,507,18/48/507,1,18,48,20,507,18/48/507
1,41,1488184749,597824083,1,24,196,196,507,24/196/507,1,24,196,83,507,24/196/507
1,42,2584200203,1051168140,1,21,126,126,507,21/126/507,1,21,126,51,507,21/126/507
1,43,4059669835,2063653729,1,28,252,252,507,28/252/507,1,28,252,87,507,28/252/507
1,44,4221968685,3099080042,1,28,368,368,507,28/368/507,1,28,368,129,507,28/368/507
1,45,480642581,3612588106,1,21,131,131,507,21/131/507,1,21,131,59,507,21/131/507
1,46,2693122366,431509581,1,20,96,96,507,20/96/507,1,20,96,28,507,20/96/507
1,47,404293123,2902735026,1,21,120,120,507,21/120/507,1,21,120,47,507,21/120/507
1,48,3239328888,3151672269,1,25,157,157,507,25/157/507,1,25,157,62,507,25/157/507
1,49,857760764,573285756,1,23,148,148,507,23/148/507,1,23,148,56,507,23/148/507
4,0,2065550767,607587826,1,21,119,119,8685,21/119/8685,1,21,119,55,8685,21/119/8685
4,1,981837020,2746853941,1,23,132,132,8685,23/132/8685,1,23,132,54,8685,23/132/8685
4,2,1633855666,2266769263,1,19,89,89,2852,19/89/2852,1,19,89,33,2852,19/89/2852
4,3,3282944846,4122538539,1,20,101,101,2852,20/101/2852,1,20,101,33,2852,20/101/2852
4,4,732984319,1065588451,1,16,47,47,4724,16/47/4724,1,16,47,17,4724,16/47/4724
4,5,3663223475,2803464919,1,20,72,72,2852,20/72/2852,1,20,72,32,2852,20/72/2852
4,6,248580544,1459736146,1,9,14,14,507,9/14/507,1,9,14,4,507,9/14/507
4,7,271503219,1405575467,1,21,112,112,507,21/112/507,1,21,112,48,507,21/112/507
4,8,3475617441,891492996,1,15,40,40,2852,15/40/2852,1,15,40,14,2852,15/40/2852
4,9,3298605890,3500391352,1,23,94,94,2852,23/94/2852,1,23,94,46,2852,23/94/2852
4,10,1287986467,3993909940,1,19,65,65,2852,19/65/2852,1,19,65,30,2852,19/65/2852
4,11,4192774778,839435034,1,15,41,41,4724,15/41/4724,1,15,41,16,4724,15/41/4724
4,12,3718819921,3356515485,1,18,42,42,507,18/42/507,1,18,42,20,507,18/42/507
4,13,2885358015,4125017950,1,22,128,128,2852,22/128/2852,1,22,128,46,2852,22/128/2852
4,14,543397905,1802140743,1,17,59,59,4724,17/59/4724,1,17,59,18,4724,17/59/4724
4,15,2893196498,3397696620,1,21,85,85,8685,21/85/8685,1,21,85,53,8685,21/85/8685
4,16,1235409529,3778504485,1,21,116,116,2852,21/116/2852,1,21,116,36,2852,21/116/2852
4,17,1671752151,1634130852,1,24,121,121,507,24/121/507,1,24,121,51,507,24/121/507
4,18,2307125506,1140547971,1,22,116,116,8685,22/116/8685,1,22,116,49,8685,22/116/8685
4,19,3060902520,3380271266,1,21,82,82,507,21/82/507,1,21,82,38,507,21/82/507
4,20,3672856170,2560514877,1,22,112,112,507,22/112/507,1,22,112,50,507,22/112/507
4,21,4128775168,2739252299,1,9,4,4,2852,9/4/2852,1,9,4,4,2852,9/4/2852
4,22,1310251090,2693365983,1,15,37,37,507,15/37/507,1,15,37,11,507,15/37/507
4,23,2687880890,1629349060,1,12,21,21,8685,12/21/8685,1,12,21,8,8685,12/21/8685
4,24,3259068132,1931736185,1,9,14,14,8685,9/14/8685,1,9,14,5,8685,9/14/8685
4,25,4225432541,2696990511,1,19,77,77,4724,19/77/4724,1,19,77,24,4724,19/77/4724
4,26,2755641159,2380888848,1,21,83,83,2852,21/83/2852,1,21,83,25,2852,21/83/2852
4,27,1746008001,3406234698,1,19,77,77,507,19/77/507,1,19,77,25,507,19/77/507
4,28,1628298796,2364923577,1,23,142,142,2852,23/142/2852,1,23,142,37,2852,23/142/2852
4,29,2183404423,3152183097,1,18,62,62,2852,18/62/2852,1,18,62,26,2852,18/62/2852
4,30,1214542992,3935654379,1,20,80,80,2852,20/80/2852,1,20,80,43,2852,20/80/2852
4,31,1675574143,2830129121,1,10,14,14,4724,10/14/4724,1,10,14,5,4724,10/14/4724
4,32,1127294395,841088752,1,21,70,70,4724,21/70/4724,1,21,70,32,4724,21/70/4724
4,33,2034482752,1715596921,1,20,98,98,8685,20/98/8685,1,20,98,41,8685,20/98/8685
4,34,650719826,1734158600,1,11,17,17,8685,11/17/8685,1,11,17,5,8685,11/17/8685
4,35,3689147721,2815421014,1,18,73,73,8685,18/73/8685,1,18,73,33,8685,18/73/8685
4,36,3270286260,3217075870,1,17,47,47,4724,17/47/4724,1,17,47,24,4724,17/47/4724
4,37,3891037529,812672172,1,20,85,85,507,20/85/507,1,20,85,38,507,20/85/507
4,38,3434646356,753926488,1,16,54,54,8685,16/54/8685,1,16,54,15,8685,16/54/8685
4,39,3037914788,731803788,1,18,71,71,4724,18/71/4724,1,18,71,26,4724,18/71/4724
4,40,2116828546,2795483541,1,18,48,48,507,18/48/507,1,18,48,20,507,18/48/507
4,41,1488184749,597824083,1,12,14,14,2852,12/14/2852,1,12,14,8,2852,12/14/2852
4,42,2584200203,1051168140,1,15,34,34,2852,15/34/2852,1,15,34,16,2852,15/34/2852
4,43,4059669835,2063653729,1,19,98,98,4724,19/98/4724,1,19,98,30,4724,19/98/4724
4,44,4221968685,3099080042,1,21,123,123,2852,21/123/2852,1,21,123,36,2852,21/123/2852
4,45,480642581,3612588106,1,20,102,102,2852,20/102/2852,1,20,102,36,2852,20/102/2852
4,46,2693122366,431509581,1,18,68,68,507,18/68/507,1,18,68,19,507,18/68/507
4,47,404293123,2902735026,1,19,76,76,8685,19/76/8685,1,19,76,36,8685,19/76/8685
4,48,3239328888,3151672269,1,22,95,95,2852,22/95/2852,1,22,95,39,2852,22/95/2852
4,49,857760764,573285756,1,16,44,44,507,16/44/507,1,16,44,17,507,16/44/507
16,0,2065550767,607587826,1,11,15,15,4512,11/15/4512,1,11,15,5,4512,11/15/4512
16,1,981837020,2746853941,1,15,23,23,507,15/23/507,1,15,23,9,507,15/23/507
16,2,1633855666,2266769263,1,17,56,56,10593,17/56/10593,1,17,56,22,10593,17/56/10593
16,3,3282944846,4122538539,1,18,56,56,5281,18/56/5281,1,18,56,25,5281,18/56/5281
16,4,732984319,1065588451,1,14,27,27,4512,14/27/4512,1,14,27,13,4512,14/27/4512
16,5,3663223475,2803464919,1,15,18,18,10839,15/18/10839,1,15,18,7,10839,15/18/10839
16,6,248580544,1459736146,1,17,68,68,3947,17/68/3947,1,17,68,28,3947,17/68/3947
16,7,271503219,1405575467,1,12,25,25,5281,12/25/5281,1,12,25,11,5281,12/25/5281
16,8,3475617441,891492996,1,14,32,32,2852,14/32/2852,1,14,32,13,2852,14/32/2852
16,9,3298605890,3500391352,1,12,20,20,3947,12/20/3947,1,12,20,6,3947,12/20/3947
16,10,1287986467,3993909940,1,15,35,35,14405,15/35/14405,1,15,35,12,14405,15/35/14405
16,11,4192774778,839435034,1,17,57,57,1721,17/57/1721,1,17,57,19,1721,17/57/1721
16,12,3718819921,3356515485,1,16,28,28,5281,16/28/5281,1,16,28,16,5281,16/28/5281
16,13,2885358015,4125017950,1,16,43,43,10593,16/43/10593,1,16,43,11,10593,16/43/10593
16,14,543397905,1802140743,1,19,71,71,4724,19/71/4724,1,19,71,26,4724,19/71/4724
16,15,2893196498,3397696620,1,21,85,85,14405,21/85/14405,1,21,85,53,14405,21/85/14405
16,16,1235409529,3778504485,1,13,30,30,10931,13/30/10931,1,13,30,10,10931,13/30/10931
16,17,1671752151,1634130852,1,11,13,13,5281,11/13/5281,1,11,13,5,5281,11/13/5281
16,18,2307125506,1140547971,1,14,27,27,5281,14/27/5281,1,14,27,10,5281,14/27/5281
16,19,3060902520,3380271266,1,21,82,82,10931,21/82/10931,1,21,82,38,10931,21/82/10931
16,20,3672856170,2560514877,1,17,58,58,10931,17/58/10931,1,17,58,25,10931,17/58/10931
16,21,4128775168,2739252299,1,19,67,67,7786,19/67/7786,1,19,67,35,7786,19/67/7786
16,22,1310251090,2693365983,1,15,37,37,491,15/37/491,1,15,37,11,491,15/37/491
16,23,2687880890,1629349060,1,12,21,21,8685,12/21/8685,1,12,21,8,8685,12/21/8685
16,24,3259068132,1931736185,1,16,47,47,7786,16/47/7786,1,16,47,17,7786,16/47/7786
16,25,4225432541,2696990511,1,9,6,6,491,9/6/491,1,9,6,3,491,9/6/491
16,26,2755641159,2380888848,1,15,29,29,4512,15/29/4512,1,15,29,13,4512,15/29/4512
16,27,1746008001,3406234698,1,14,32,32,3947,14/32/3947,1,14,32,11,3947,14/32/3947
16,28,1628298796,2364923577,1,11,17,17,5281,11/17/5281,1,11,17,8,5281,11/17/5281
16,29,2183404423,3152183097,1,14,30,30,7786,14/30/7786,1,14,30,8,7786,14/30/7786
