target_count,seed_index,requests,c3_work,c3_e1,c3_e2,c3_lb2,c3_maxjob,c3_ev_makespan,c3_ev_work,c3_ev_idle,c3_gate_makespan,c3_gate_work,c3_gate_idle,c4_work,c4_e1,c4_e2,c4_lb2,c4_maxjob,c4_ev_makespan,c4_ev_work,c4_ev_idle,c4_gate_makespan,c4_gate_work,c4_gate_idle,c5_work,c5_e1,c5_e2,c5_lb2,c5_maxjob,c5_ev_makespan,c5_ev_work,c5_ev_idle,c5_gate_makespan,c5_gate_work,c5_gate_idle
1,0,25,70,70,39,35,22,74,133,15,70,108,32,70,70,39,35,22,70,129,11,70,129,11,70,70,39,35,22,70,129,11,70,129,11
1,1,15,9,9,6,5,4,9,14,4,9,14,4,9,9,6,5,4,9,14,4,9,14,4,9,9,6,5,4,9,14,4,9,14,4
1,2,22,40,40,23,20,9,45,77,13,40,67,13,40,40,23,20,9,45,76,14,40,69,11,40,40,23,20,9,45,76,14,40,69,11
1,3,25,51,51,29,26,12,47,86,8,47,77,17,48,48,27,24,12,47,84,10,47,75,19,47,47,27,24,12,48,86,10,48,77,19
1,4,24,58,58,34,29,19,58,97,19,58,97,19,58,58,34,29,19,58,97,19,58,97,19,58,58,34,29,19,58,97,19,58,97,19
1,5,23,41,41,28,21,16,40,66,14,40,66,14,40,40,27,20,16,40,66,14,40,66,14,40,40,27,20,16,40,66,14,40,66,14
1,6,9,4,4,2,2,1,4,7,1,4,7,1,4,4,2,2,1,4,7,1,4,7,1,4,4,2,2,1,4,7,1,4,7,1
1,7,23,52,52,28,26,21,52,90,14,52,86,18,52,52,28,26,21,52,89,15,52,86,18,52,52,28,26,21,52,89,15,52,86,18
1,8,26,79,79,48,40,31,82,132,32,78,102,54,78,78,47,39,31,80,130,30,78,99,57,78,78,47,39,31,79,128,30,78,122,34
1,9,24,61,61,42,31,28,54,81,27,54,79,29,56,56,42,28,28,54,80,28,54,80,28,54,54,41,28,28,54,80,28,54,80,28
1,10,20,28,28,19,14,11,28,46,10,28,44,12,28,28,19,14,11,28,45,11,28,45,11,28,28,19,14,11,28,45,11,28,45,11
1,11,23,45,45,30,23,21,44,67,21,44,67,21,44,44,29,22,21,44,67,21,44,67,21,44,44,29,22,21,44,67,21,44,67,21
1,12,18,12,12,8,7,7,10,20,0,10,20,0,10,10,8,7,7,10,20,0,10,20,0,10,10,8,7,7,10,20,0,10,20,0
1,13,24,52,52,27,26,16,55,109,1,55,96,14,51,51,26,26,16,55,108,2,55,98,12,51,51,26,26,16,55,107,3,55,97,13
1,14,21,34,34,21,17,14,36,64,8,34,50,18,34,34,21,17,14,34,65,3,34,61,7,34,34,21,17,14,34,65,3,34,61,7
1,15,27,111,111,67,56,38,103,171,35,99,147,51,101,101,65,51,38,101,170,32,99,144,54,100,100,65,50,38,101,168,34,99,145,53
1,16,25,44,44,29,22,19,58,103,13,47,73,21,42,42,28,21,19,47,88,6,43,69,17,41,41,28,21,19,44,85,3,43,66,20
1,17,25,40,40,23,20,15,34,64,4,31,47,15,34,34,22,17,15,34,64,4,31,47,15,32,32,20,16,15,34,64,4,31,47,15
1,18,24,69,69,46,35,30,65,100,30,65,100,30,65,65,42,33,30,65,102,28,65,97,33,65,65,42,33,30,65,100,30,65,100,30
1,19,22,43,43,23,22,17,41,67,15,40,51,29,41,41,21,21,16,41,67,15,40,51,29,40,40,20,20,16,40,66,14,40,66,14
