configuration,family,horizon,checkpoint,engines,physical_iterations,compute_makespan_iter,engine_utilization_pct,makespan_vs_frozen_pct,grade,notes,est_cycles_d0,est_cycles_d20,est_cycles_d40,est_cycles_d80,est_cycles_d120,est_cycles_d160
Normal BBHT (checkpoint 없음),-,-,없음,1,14883,14883,100.0,260.01,MEASURED,보드 실측,20231195,20304135,20377075,20522955,20668835,20814715
frozen K4/H4 (정본),baseline,4,K4,1,4134,4134,100.0,0.0,MEASURED,보드 실측. 비교 기준,9141452,9214392,9287332,9433212,9579092,9724972
골든 모델 endpoint-only,baseline,n/a,K4,1,5850,5850,100.0,41.51,ESTIMATED,source 파괴 + 중간 적재 없음,10911849,10984789,11057729,11203609,11349489,11495369
우리 restricted-B online H4,baseline,4,K4,1,4214,4214,100.0,1.94,ESTIMATED,정본 재현 +1.94%,9223988,9296928,9369868,9515748,9661628,9807508
우리 restricted-B online H6,baseline,6,K4,1,4125,4125,100.0,-0.22,ESTIMATED,정본 재현 -0.22%,9132166,9205106,9278046,9423926,9569806,9715686
offline OPT endpoint-only,bound,∞,K4,1,5850,5850,100.0,41.51,ESTIMATED,그 계급의 하한,10911849,10984789,11057729,11203609,11349489,11495369
offline OPT source 보존,bound,∞,K4,1,4640,4640,100.0,12.24,ESTIMATED,중간 적재 없음,9663492,9736432,9809372,9955252,10101132,10247012
offline OPT bridge (K4),bound,∞,K4,1,4083,4083,100.0,-1.23,ESTIMATED,**정본이 속한 계급의 천장**,9088835,9161775,9234715,9380595,9526475,9672355
offline OPT bridge (K3),bound,∞,K3,1,4230,4230,100.0,2.32,ESTIMATED,Family 1 의 C3 예산,9240495,9313435,9386375,9532255,9678135,9824015
offline OPT bridge (K5),bound,∞,K5,1,4049,4049,100.0,-2.06,ESTIMATED,K 를 늘려도 0.8%,9053757,9126697,9199637,9345517,9491397,9637277
offline OPT bridge (K6),bound,∞,K6,1,4042,4042,100.0,-2.23,ESTIMATED,포화,9046535,9119475,9192415,9338295,9484175,9630055
F1 전가시성 낙관 (C4),Family 1,4,C4,2,4083,2621,77.9,-36.6,ESTIMATED,동시 job 이 서로를 본다고 침. 도달 불가,7580489,7653429,7726369,7872249,8018129,8164009
F1 가시성제약 + 즉시refill (C3),Family 1,4,C3+R2,2,6987,4224,82.7,2.18,ESTIMATED,F1-2 work-conserving,9234304,9307244,9380184,9526064,9671944,9817824
F1 가시성제약 + 즉시refill (C4),Family 1,4,C4+R2,2,6863,4157,82.5,0.56,ESTIMATED,,9165181,9238121,9311061,9456941,9602821,9748701
F1 가시성제약 + 즉시refill (C5),Family 1,4,C5+R2,2,6794,4126,82.3,-0.19,ESTIMATED,,9133198,9206138,9279078,9424958,9570838,9716718
F1 가시성제약 + 선택적투기 (C3),Family 1,4,C3+R2,2,6398,4094,78.1,-0.97,ESTIMATED,지시 2절 예산 그대로,9100184,9173124,9246064,9391944,9537824,9683704
F1 가시성제약 + 선택적투기 (C4),Family 1,4,C4+R2,2,6386,4065,78.5,-1.67,ESTIMATED,**Family 1 best**,9070264,9143204,9216144,9362024,9507904,9653784
F1 가시성제약 + 선택적투기 (C5),Family 1,4,C5+R2,2,6421,4058,79.1,-1.84,ESTIMATED,5-state 최대 해석,9063042,9135982,9208922,9354802,9500682,9646562
F2 parity A=K2 B=K2,Family 2,∞,K2+K2,2,6573,4216,78.0,1.98,ESTIMATED,track 별 offline. 도달 불가 낙관,9226051,9298991,9371931,9517811,9663691,9809571
F2 parity A=K3 B=K2,Family 2,∞,K3+K2,2,6421,4102,78.3,-0.77,ESTIMATED,F2-B,9108437,9181377,9254317,9400197,9546077,9691957
F2 parity A=K2 B=K3,Family 2,∞,K2+K3,2,6456,4165,77.5,0.75,ESTIMATED,F2-B 반대 배분,9173434,9246374,9319314,9465194,9611074,9756954
F2 parity A=K3 B=K3,Family 2,∞,K3+K3,2,6304,4050,77.8,-2.03,ESTIMATED,**Family 2 best**. checkpoint 6개,9054789,9127729,9200669,9346549,9492429,9638309
