target_count,seed_index,requests,normal,golden_online,replay_online,opt_endpoint,opt_preserve,opt_bridge
1,0,25,308,87,87,87,73,70
1,1,15,23,9,9,9,9,9
1,2,22,181,61,61,61,45,40
1,3,25,239,68,68,68,57,48
1,4,24,240,78,78,78,69,58
1,5,23,155,59,59,59,47,40
1,6,9,14,4,4,4,4,4
1,7,23,180,71,71,71,55,52
1,8,26,261,103,103,103,87,78
1,9,24,148,74,74,74,64,56
1,10,20,93,41,41,41,32,28
1,11,23,175,75,75,75,50,44
1,12,18,42,20,20,20,14,10
1,13,24,218,93,109,93,67,51
1,14,21,133,46,46,46,38,34
1,15,27,333,169,173,169,138,101
1,16,25,225,60,60,60,47,42
1,17,25,152,53,53,53,38,34
1,18,24,216,94,94,94,74,65
1,19,22,122,52,52,52,45,41
1,20,27,311,122,122,122,101,98
1,21,26,200,88,88,88,74,62
1,22,15,37,11,11,11,10,9
1,23,23,141,53,53,53,38,28
1,24,21,159,47,47,47,39,37
1,25,25,210,104,104,104,75,72
1,26,27,215,75,75,75,62,52
1,27,24,174,61,61,61,44,34
1,28,25,256,116,116,116,85,63
1,29,21,133,46,46,46,40,37
1,30,19,63,31,31,31,28,25
1,31,27,273,108,108,108,88,66
1,32,22,93,32,32,32,25,23
1,33,19,93,37,37,37,27,26
1,34,27,290,129,129,129,103,101
1,35,16,40,22,22,22,14,12
1,36,24,229,69,69,69,55,49
1,37,23,169,71,71,71,56,42
1,38,21,123,40,40,40,29,26
1,39,21,105,34,34,34,29,28
1,40,18,48,20,20,20,13,12
1,41,24,196,83,83,83,74,67
1,42,21,126,51,51,51,42,35
1,43,28,252,87,87,87,46,33
1,44,28,368,129,129,129,110,105
1,45,21,131,59,59,59,45,30
1,46,20,96,28,28,28,23,19
1,47,21,120,47,47,47,36,25
1,48,25,157,62,62,62,46,35
1,49,23,148,56,56,56,43,40
4,0,21,119,55,55,55,41,38
4,1,23,132,54,54,54,40,37
4,2,19,89,33,33,33,24,24
4,3,20,101,33,33,33,30,27
4,4,16,47,17,17,17,13,11
4,5,20,72,32,32,32,22,17
4,6,9,14,4,4,4,4,4
4,7,21,112,48,48,48,38,36
4,8,15,40,14,14,14,9,8
4,9,23,94,46,46,46,36,28
4,10,19,65,30,30,30,21,17
4,11,15,41,16,16,16,13,10
4,12,18,42,20,20,20,14,10
4,13,22,128,46,61,46,41,40
4,14,17,59,18,18,18,14,14
4,15,21,85,53,55,53,39,35
4,16,21,116,36,36,36,24,19
4,17,24,121,51,51,51,36,32
4,18,22,116,49,49,49,29,20
4,19,21,82,38,38,38,31,27
4,20,22,112,50,50,50,32,29
4,21,9,4,4,4,4,4,4
4,22,15,37,11,11,11,10,9
4,23,12,21,8,8,8,7,7
4,24,9,14,5,5,5,4,4
4,25,19,77,24,24,24,22,22
4,26,21,83,25,25,25,24,20
4,27,19,77,25,25,25,22,21
4,28,23,142,37,37,37,31,30
4,29,18,62,26,26,26,21,19
4,30,20,80,43,43,43,34,25
4,31,10,14,5,5,5,4,4
4,32,21,70,32,32,32,25,23
4,33,20,98,41,41,41,29,26
4,34,11,17,5,5,5,4,4
4,35,18,73,33,33,33,23,17
4,36,17,47,24,24,24,17,17
4,37,20,85,38,38,38,33,30
4,38,16,54,15,15,15,14,14
4,39,18,71,26,26,26,23,22
4,40,18,48,20,20,20,13,12
4,41,12,14,8,8,8,7,7
4,42,15,34,16,16,16,15,12
4,43,19,98,30,30,30,22,20
4,44,21,123,36,36,36,31,30
4,45,20,102,36,36,36,32,30
4,46,18,68,19,19,19,18,16
4,47,19,76,36,36,36,29,25
4,48,22,95,39,39,39,34,33
4,49,16,44,17,17,17,12,12
16,0,11,15,5,5,5,3,3
16,1,15,23,9,9,9,9,9
16,2,17,56,22,22,22,16,16
16,3,18,56,25,25,25,22,19
16,4,14,27,13,13,13,9,7
16,5,15,18,7,7,7,5,5
16,6,17,68,28,28,28,20,17
16,7,12,25,11,11,11,8,7
16,8,14,32,13,13,13,8,7
16,9,12,20,6,6,6,6,6
16,10,15,35,12,12,12,11,11
16,11,17,57,19,19,19,15,10
16,12,16,28,16,16,16,13,10
16,13,16,43,11,11,11,9,8
16,14,19,71,26,26,26,18,14
16,15,21,85,53,55,53,39,35
16,16,13,30,10,10,10,8,8
16,17,11,13,5,5,5,4,4
16,18,14,27,10,10,10,9,9
16,19,21,82,38,38,38,31,27
16,20,17,58,25,25,25,16,13
16,21,19,67,35,35,35,25,15
16,22,15,37,11,11,11,10,9
16,23,12,21,8,8,8,7,7
16,24,16,47,17,17,17,12,12
16,25,9,6,3,3,3,2,2
16,26,15,29,13,13,13,12,10
16,27,14,32,11,11,11,10,10
16,28,11,17,8,8,8,6,5
16,29,14,30,8,8,8,6,6
16,30,15,26,12,12,12,10,7
16,31,14,35,10,10,10,9,9
16,32,21,70,32,32,32,25,23
16,33,13,23,9,9,9,6,6
16,34,11,17,5,5,5,4,4
16,35,15,30,13,13,13,12,12
16,36,7,5,2,2,2,2,2
16,37,2,1,1,1,1,1,1
16,38,15,40,10,10,10,9,9
16,39,18,71,26,26,26,23,22
16,40,18,48,20,20,20,13,12
16,41,14,29,15,15,15,13,9
16,42,17,57,23,23,23,21,15
16,43,8,6,3,3,3,3,3
16,44,20,93,25,25,25,20,19
16,45,12,21,8,8,8,7,7
16,46,18,68,19,19,19,18,16
16,47,15,30,17,17,17,12,12
16,48,13,13,6,6,6,6,6
16,49,16,44,17,17,17,12,12
64,0,6,4,2,2,2,2,2
64,1,13,14,5,5,5,5,5
64,2,7,3,2,2,2,2,2
64,3,13,19,8,8,8,7,5
64,4,8,4,2,2,2,2,2
64,5,18,40,14,14,14,12,11
64,6,12,24,10,10,10,6,6
64,7,12,25,11,11,11,8,7
64,8,11,13,5,5,5,5,5
