target_count,seed_index,requests,requests_a,requests_b,normal,single_opt_k4,k22_a,k22_b,k22_total,k22_makespan,k32_a,k32_b,k32_total,k32_makespan,k23_a,k23_b,k23_total,k23_makespan,k33_a,k33_b,k33_total,k33_makespan
1,0,25,13,12,308,70,70,59,129,70,70,59,129,70,70,59,129,70,70,59,129,70
1,1,15,8,7,23,9,9,2,11,9,9,2,11,9,9,2,11,9,9,2,11,9
1,2,22,11,11,181,40,24,40,64,40,24,40,64,40,24,40,64,40,24,40,64,40
1,3,25,13,12,239,48,47,38,85,47,47,38,85,47,47,36,83,47,47,36,83,47
1,4,24,12,12,240,58,39,58,97,58,39,58,97,58,39,58,97,58,39,58,97,58
1,5,23,12,11,155,40,24,40,64,40,24,40,64,40,24,40,64,40,24,40,64,40
1,6,9,5,4,14,4,4,3,7,4,4,3,7,4,4,3,7,4,4,3,7,4
1,7,23,12,11,180,52,52,16,68,52,52,16,68,52,52,16,68,52,52,16,68,52
1,8,26,13,13,261,78,49,81,130,81,47,81,128,81,49,78,127,78,47,78,125,78
1,9,24,12,12,148,56,36,58,94,58,26,58,84,58,36,56,92,56,26,56,82,56
1,10,20,10,10,93,28,19,28,47,28,17,28,45,28,19,28,47,28,17,28,45,28
1,11,23,12,11,175,44,23,44,67,44,23,44,67,44,23,44,67,44,23,44,67,44
1,12,18,9,9,42,10,5,10,15,10,4,10,14,10,5,10,15,10,4,10,14,10
1,13,24,12,12,218,51,53,42,95,53,51,42,93,51,53,40,93,53,51,40,91,51
1,14,21,11,10,133,34,34,28,62,34,34,28,62,34,34,28,62,34,34,28,62,34
1,15,27,14,13,333,101,114,63,177,114,100,63,163,100,114,61,175,114,100,61,161,100
1,16,25,13,12,225,42,45,23,68,45,41,23,64,41,45,20,65,45,41,20,61,41
1,17,25,13,12,152,34,33,19,52,33,31,19,50,31,33,18,51,33,31,18,49,31
1,18,24,12,12,216,65,37,71,108,71,35,71,106,71,37,65,102,65,35,65,100,65
1,19,22,11,11,122,41,29,44,73,44,28,44,72,44,29,40,69,40,28,40,68,40
