name,K,H,E,real_e,makespan,decisions,actions,act_per_dec,policy_ratio,stall,cycles,pass
K4/H4 (기준선),4,4,1,1,4214,3647,23189,6.3583767480120645,1.0,338041.0189369372,8122591.918936936,True
K4/H6 (단일),4,6,1,1,4125,3647,22846,6.264326843981355,0.9852085040320843,348849.7147167711,8039799.31471677,True
K3/H4 (단일),3,4,1,1,4332,3647,16568,4.54291198245133,0.7144766915347796,87005.38202670752,7995656.882026708,True
K5/H4 (단일),5,4,1,1,4188,3647,30634,8.399780641623252,1.3210573979041789,719534.3679318766,8476741.067931877,False
K6/H4 (단일),6,4,1,1,4162,3647,36004,9.872223745544282,1.552632713786709,1032003.4204370711,8761865.920437071,False
F1 C3+R2 선택적투기,3,4,2,2,4094,3647,16568,4.54291198245133,0.7144766915347796,202138.9820373889,7860485.882037388,True
F1 C4+R2 선택적투기,4,4,2,2,4065,3647,23189,6.3583767480120645,1.0,532260.6252295999,8160108.2252295995,True
F1 C5+R2 선택적투기,5,4,2,2,4058,3647,30634,8.399780641623252,1.3210573979041789,931892.2843725876,8552377.984372588,False
F2 parity K2+K2,2,4,1,2,4216,3647,10065,2.7598025774609267,0.4340420026736815,36045.3843853854,7822699.684385385,True
F2 parity K3+K2,3,4,1,2,4102,3647,12072,3.3101179051275023,0.5205916598387167,49247.08024210531,7716007.580242106,True
F2 parity K3+K3,3,4,1,2,4050,3647,13554,3.716479298053194,0.584501272154901,59169.118320136055,7671241.218320136,True
