name,K,H,decisions,actions,mean,p50,p95,max,work
K4/H4 (기준선),4,4,3647,23189,6.3583767480120645,3,22,160,4214
K4/H2,4,2,3647,21638,5.933095695091857,3,20,100,4622
K4/H3,4,3,3647,22448,6.155196051549218,3,20,160,4292
K4/H5,4,5,3647,23156,6.34932821497121,3,22,166,4178
K4/H6,4,6,3647,22846,6.264326843981355,3,22,196,4125
K3/H4,3,4,3647,16568,4.54291198245133,3,15,62,4332
K5/H4,5,4,3647,30634,8.399780641623252,3,30,385,4188
K6/H4,6,4,3647,36004,9.872223745544282,3,42,812,4162
F1 C3 (shared pool),3,4,3647,16568,4.54291198245133,3,15,62,4332
F1 C5 (shared pool),5,4,3647,30634,8.399780641623252,3,30,385,4188
F2 track A=K2,2,4,1892,5137,2.7151162790697674,2.0,7,13,3491
F2 track B=K2,2,4,1755,4928,2.807977207977208,2,7,12,3092
F2 track A=K3,3,4,1892,7144,3.7758985200845667,2.0,12,45,3337
F2 track B=K3,3,4,1755,6410,3.6524216524216526,2,12,41,2982
