name,engines,states,tiles,cycles,apd,gate,fits,pareto,note
K4/H4 (기준선),1,5,98,8122630,79.46,True,True,False,checkpoint 4 + 작업본 1
K4/H6,1,5,98,8039838,78.29,True,True,False,
K3/H4,1,4,87,7995668,56.77,True,True,True,checkpoint 3 + 작업본 1
K5/H4,1,6,109,8476802,104.97,False,True,False,
K6/H4,1,7,120,8761947,123.38,False,True,False,
F1 C3+R2,2,5,104,6259285,59.78,True,True,True,공유 C3 + 결과 슬롯 2
F1 C4+R2,2,6,115,6423889,80.36,False,True,False,
F1 C5+R2,2,7,126,6602395,94.19,False,True,False,
F2 K2+K2,2,6,115,6184503,34.49,True,True,True,track 마다 ckpt2 + 작업본1
F2 K3+K2,2,7,126,6074057,41.37,True,True,True,"track A ckpt3, B ckpt2"
F2 K2+K3,2,7,126,6135425,39.57,True,True,False,
F2 K3+K3,2,8,137,6023866,46.45,True,False,False,
