target_count,seed_index,policy,software_actual_grover_iterations,fpga_actual_grover_iterations,delta,exact_match
1,0,K4H4,70,70,0,1
1,0,K3H3,70,70,0,1
1,1,K4H4,9,9,0,1
1,1,K3H3,9,9,0,1
1,2,K4H4,40,40,0,1
1,2,K3H3,40,40,0,1
1,3,K4H4,51,51,0,1
1,3,K3H3,53,53,0,1
1,4,K4H4,58,58,0,1
1,4,K3H3,58,58,0,1
1,5,K4H4,41,41,0,1
1,5,K3H3,41,41,0,1
1,6,K4H4,4,4,0,1
1,6,K3H3,4,4,0,1
1,7,K4H4,52,52,0,1
1,7,K3H3,52,52,0,1
1,8,K4H4,83,83,0,1
1,8,K3H3,85,85,0,1
1,9,K4H4,57,57,0,1
1,9,K3H3,68,68,0,1
1,10,K4H4,30,30,0,1
1,10,K3H3,31,31,0,1
1,11,K4H4,44,44,0,1
1,11,K3H3,45,45,0,1
1,12,K4H4,10,10,0,1
1,12,K3H3,12,12,0,1
1,13,K4H4,52,52,0,1
1,13,K3H3,55,55,0,1
1,14,K4H4,36,36,0,1
1,14,K3H3,37,37,0,1
1,15,K4H4,101,101,0,1
1,15,K3H3,115,115,0,1
1,16,K4H4,45,45,0,1
1,16,K3H3,45,45,0,1
1,17,K4H4,35,35,0,1
1,17,K3H3,45,45,0,1
1,18,K4H4,70,70,0,1
1,18,K3H3,73,73,0,1
1,19,K4H4,42,42,0,1
1,19,K3H3,47,47,0,1
1,20,K4H4,100,100,0,1
1,20,K3H3,109,109,0,1
1,21,K4H4,62,62,0,1
1,21,K3H3,68,68,0,1
1,22,K4H4,9,9,0,1
1,22,K3H3,9,9,0,1
1,23,K4H4,31,31,0,1
1,23,K3H3,35,35,0,1
1,24,K4H4,37,37,0,1
1,24,K3H3,40,40,0,1
1,25,K4H4,79,79,0,1
1,25,K3H3,79,79,0,1
1,26,K4H4,61,61,0,1
1,26,K3H3,66,66,0,1
1,27,K4H4,40,40,0,1
1,27,K3H3,41,41,0,1
1,28,K4H4,63,63,0,1
1,28,K3H3,65,65,0,1
1,29,K4H4,37,37,0,1
1,29,K3H3,39,39,0,1
1,30,K4H4,25,25,0,1
1,30,K3H3,26,26,0,1
1,31,K4H4,74,74,0,1
1,31,K3H3,80,80,0,1
1,32,K4H4,25,25,0,1
1,32,K3H3,26,26,0,1
1,33,K4H4,26,26,0,1
1,33,K3H3,27,27,0,1
1,34,K4H4,106,106,0,1
1,34,K3H3,107,107,0,1
1,35,K4H4,12,12,0,1
1,35,K3H3,12,12,0,1
1,36,K4H4,51,51,0,1
1,36,K3H3,55,55,0,1
1,37,K4H4,43,43,0,1
1,37,K3H3,44,44,0,1
1,38,K4H4,26,26,0,1
1,38,K3H3,29,29,0,1
1,39,K4H4,29,29,0,1
1,39,K3H3,30,30,0,1
1,40,K4H4,13,13,0,1
1,40,K3H3,13,13,0,1
1,41,K4H4,73,73,0,1
1,41,K3H3,78,78,0,1
1,42,K4H4,35,35,0,1
1,42,K3H3,35,35,0,1
1,43,K4H4,57,57,0,1
1,43,K3H3,57,57,0,1
1,44,K4H4,115,115,0,1
1,44,K3H3,118,118,0,1
1,45,K4H4,33,33,0,1
1,45,K3H3,33,33,0,1
1,46,K4H4,20,20,0,1
1,46,K3H3,21,21,0,1
1,47,K4H4,26,26,0,1
1,47,K3H3,26,26,0,1
1,48,K4H4,36,36,0,1
1,48,K3H3,37,37,0,1
1,49,K4H4,40,40,0,1
1,49,K3H3,40,40,0,1
1,50,K4H4,63,63,0,1
1,50,K3H3,66,66,0,1
1,51,K4H4,23,23,0,1
1,51,K3H3,23,23,0,1
1,52,K4H4,85,85,0,1
1,52,K3H3,89,89,0,1
1,53,K4H4,43,43,0,1
1,53,K3H3,43,43,0,1
1,54,K4H4,69,69,0,1
1,54,K3H3,71,71,0,1
1,55,K4H4,83,83,0,1
1,55,K3H3,83,83,0,1
1,56,K4H4,54,54,0,1
1,56,K3H3,55,55,0,1
1,57,K4H4,53,53,0,1
1,57,K3H3,67,67,0,1
1,58,K4H4,134,134,0,1
1,58,K3H3,134,134,0,1
1,59,K4H4,28,28,0,1
1,59,K3H3,33,33,0,1
1,60,K4H4,31,31,0,1
1,60,K3H3,33,33,0,1
